172.20.174.113,7825.6797,2963
www.rmbreeding.cn,3025.0000,958
rmbreeding.net,3023.4668,754
cgm.sjtu.edu.cn,2427.0288,938
jbrowse.dobzhanskycenter.org,2180.0000,188
172.29.4.215:8080,2030.0784,459
oryzasnp.org,1821.2786,3230
p53.hydra.mki.co.jp,1728.0532,301
147.99.84.190,1050.3182,110
gemdbj.ncc.go.jp,1047.2593,135
52.7.73.148,860.3684,171
10.102.20.171:8080,804.5290,276
evolve.bio.titech.ac.jp,700.6769,359
biocomp.phibred.com,655.9174,1792
gbcs-dev.embl.de,603.9122,205
jbrowse,495.0108,1021
bovinegenome.org,477.1557,591
rgv.genouest.org,468.4006,2244
gbcs-dev,467.0373,509
gwas-browser.nygenome.org,467.0000,274
chambo.umd.edu,436.1265,411
staging.wormbase.org,435.8351,1601
bovinegenome.org:8080,397.2097,887
informatics.medimmune.com,386.5946,148
moldylunchbox.uchicago.edu,349.3480,204
10.0.0.48,340.7098,2919
10.207.4.76,340.6757,222
furlonglab.embl.de,333.0000,340
informatics,329.4371,334
www.wormbase.org,309.4292,967
jbrowse.wormbase.org,252.1795,479
dev.wormbase.org:9003,239.5101,347
,238.3513,181639
jgm-cssc.jax.org,234.4557,316
143.169.52.58,222.7550,551
genomes.missouri.edu:8080,218.3446,3558
10.207.4.138,216.0488,676
peach.igh.cnrs.fr,213.1371,970
zombie.bioxray.au.dk,208.5775,3212
jbrowse.jhhlab.tw,205.0311,2959
cassavabase.org,202.7090,134
db.edbc.org,200.1264,182
192.168.121.127,195.5046,216
myerslab.bu.edu,194.8898,127
115.156.239.3,191.0839,1656
172.16.44.13,179.5396,139
ukapdlnx005.ukapd.astrazeneca.net,175.2705,244
172.16.1.23,173.6925,361
lulab.life.tsinghua.edu.cn,172.1685,1306
140.113.15.88,171.8208,106
bioinfo2.ugr.es,167.3774,1513
binfcalc2.bio.uni-potsdam.de:9988,163.4528,212
14.139.59.221,163.2175,1324
jbrowse.brachypodium.org,160.0000,2489
ics.hutton.ac.uk,148.8921,139
kyle.hmgc.mcw.edu,148.2618,191
www.cgr.liv.ac.uk,147.1838,370
mirlab.sysu.edu.cn,146.6671,2136
rgd.mcw.edu,145.7965,2118
210.46.85.200,135.3186,226
visual.ic4r.org,131.7238,2603
www.tongjidmb.com,126.0732,615
jbrowse.org,125.4008,30388
hastings.hmgc.mcw.edu,123.2556,356
jbrowse.intranet.dow.com,121.3885,1650
192.168.192.228:8080,120.7019,265
dev.rgd.mcw.edu,118.4758,124
www.tomatogenome.net,116.0794,3312
10.0.96.180,112.8939,490
127.0.0.1,110.6348,4712
eluxt03,108.4300,393
dynamix.bzh,104.9598,1591
141.244.134.230,104.3693,287
sanger.kws.de,102.4300,3823
192.168.14.34,101.6870,690
sysbio.sysu.edu.cn,98.9774,1197
10.200.150.118,96.9007,977
childslab.plantbiology.msu.edu,95.7331,487
sjcbioweb01.driscolls.com,95.2725,723
jbrowse-test.sgn.cornell.edu,94.6572,811
cicarvardb.icrisat.org,94.0000,238
10.3.1.222,93.5072,138
ai-jbrowsedev1.niaid.nih.gov,93.0452,332
genomes.missouri.edu,89.6137,365
bioinf.gen.tcd.ie,88.2828,7952
ccmsr.d51.lilly.com,86.9412,102
servbio.hpc.ncsu.edu:81,82.6205,1133
dev.xenmine.org,82.4631,149
jbrowse.labs.intermine.org,81.3065,186
cho-epigenome.boku.ac.at,80.6601,559
jbrowse.molgenrug.nl,80.5963,161
10.0.0.20,80.1578,2060
zdglab.iimcb.gov.pl,79.6969,419
daudin.icmb.utexas.edu,79.3413,920
122.228.158.106,76.6000,210
genome.integragen.com,75.8541,1275
192.168.52.169,75.6270,673
jbrowse.genereg.net,75.6140,114
ts41,74.1174,281
server1.pgb.liv.ac.uk,73.3423,520
jbrowse.bioinf.be,72.6424,165
donald,72.3340,955
gbr3,71.3392,1194
genebrowser.lifemodules.org,68.1326,279
140.113.111.166,67.2912,340
solgenomics.org,64.1660,235
titin.ucd.ie,64.0194,2581
jbrowsephoenix.abudhabi.nyu.edu,63.6699,312
128.192.99.48:8080,63.3673,226
webapollo-pre.vectorbase.org,62.0111,180
138.37.58.52:8080,62.0000,120
algorithms.cnag.cat,61.4351,154
www.rosaceae.org,61.2450,347
192.168.8.246:7777,59.9649,485
plantsmallrnagenes.psu.edu,59.5357,504
gbrowse2015.biology.gatech.edu,58.1015,542
pollux:8080,57.9324,1124
cysteine.dbi.udel.edu,57.7082,257
localhost:81,57.1530,549
caesar.dna.affrc.go.jp,57.0535,187
flypeakbase.sysbiol.cam.ac.uk,55.9854,3501
147.100.164.47,55.5897,273
155.41.205.33,53.8864,176
120.25.220.32:7777,53.6800,225
192.168.1.178:8008,53.6375,160
jbrowse.informatics.jax.org,53.5460,23411
103.18.1.187,52.5562,525
wolferine.ucd.ie,52.0498,743
ec2-52-7-215-89.compute-1.amazonaws.com,51.7443,262
cnidarians.bu.edu,51.7259,259
sacibase.ibb.unesp.br,51.4080,723
bioinfo.bti.cornell.edu,51.2706,218
192.168.140.133,51.2135,768
apollo-dev.nal.usda.gov:8080,51.1884,138
bioinfo.jit.edu.cn,50.7956,1091
bivouac.rockefeller.edu,50.4973,366
syntheticyeastresource.com,50.0870,437
www.xenmine.org,49.7984,382
genome.igib.res.in,49.6706,2744
www.syntheticyeastresource.com,49.3400,403
garfield2.dobzhanskycenter.org,49.0000,128
202.185.98.27,48.8678,1036
pathos:8080,48.6325,2226
gene.clinic,48.5629,151
genedenovoweb.ticp.net:81,47.5348,632
jbrowse.intermine.org,46.7702,1140
genebrowser.fatnode.lifemodules.org,46.7009,107
als2077a-unix1.science.oregonstate.edu,46.6436,101
www.sunflowergenome.org,46.6297,1977
www.flyrnai.org,46.0772,9406
bioinfo.vanderbilt.edu,45.9215,242
mothra.ornl.gov,45.8293,996
antgenomes.org,45.2565,308
dev.novocraft.com,44.9173,1560
192.168.1.237,44.1007,268
zome-dev.phytozome.net,43.9877,730
mmodev.sb-roscoff.fr,43.8969,1135
10.0.0.15,43.7067,283
gmod-dev.nal.usda.gov:8080,43.6083,1131
172.32.66.195:8080,43.5838,853
orca2.tamu.edu,43.0000,193
bioinfo.tsinghua.edu.cn,42.3922,232
icebox.lbl.gov:8080,42.2734,395
145.18.222.224,41.4289,394
hts-etl-01,41.2279,1268
epigenome.genetics.uga.edu,41.2107,299
urgi161,41.1624,585
localhost,40.9185,43154
122.224.130.170:8008,40.8286,1459
sunflowergenome.org,40.6835,474
amereslab.imba.oeaw.ac.at,40.3923,339
coffee-genome.org,40.2187,2647
172.16.1.37,39.9692,195
icebox.lbl.gov,39.6170,7060
bo.csam.montclair.edu,39.5018,546
137.224.100.212,39.2769,2839
cptac.esacinc.com,39.2075,241
www.maizeinflorescence.org,39.0829,181
pfizerdev.bxgenomics.com,38.8910,211
gen100.imb-jena.de,37.9412,663
petunia.sgn.cornell.edu:8080,37.4915,118
hymenopteragenome.org:8080,36.4587,1792
phytozome-dev.jgi.doe.gov,36.3758,910
apollo.acnfp.org,36.3681,182
phytozome.jgi.doe.gov,36.3060,484450
amborella.uga.edu,36.0000,195
192.168.245.128,35.8850,113
www4g.biotec.or.th,35.8214,168
hymenopteragenome.org,35.5542,812
bioinformatics.forsyth.org,35.5304,1429
10.0.0.193:8080,34.9594,197
137.189.43.55,34.9137,2851
bioext02.eva.mpg.de,34.8250,160
localhost:8001,34.4631,149
10.10.119.240,34.3716,296
bf2i300.insa-lyon.fr,34.0686,102
chlorella.unl.edu,34.0601,2927
galaxy.montp.inserm.fr,33.8834,163
arete,33.6171,1567
10.0.1.39,33.4724,163
159.226.116.246,33.4231,104
cgrd.tgir.org,33.0875,240
vert.fri.uni-lj.si,33.0000,153
localhost:8000,32.4637,619
bioweb.eva.mpg.de,32.4437,142
www.solgenomics.org,32.2802,182
xapps.plantbreeding.nl,32.0467,107
maizeinflorescence.org,32.0463,108
bioinf.mind.meiji.ac.jp,32.0000,346
apollo.tgac.ac.uk,31.8422,1673
192.168.10.200,31.6697,893
mockler-jbrowse.mocklerlab.org,31.4808,1327
weatherby.genetics.utah.edu:8080,31.0841,321
192.168.56.102,30.9369,1475
172.16.44.40,30.8571,161
sgn.cornell.edu,30.1528,1616
www.cottongen.org,30.0652,138
i.animalgenome.org,29.9769,432
192.168.25.105,29.9679,156
137.224.100.212:8080,29.7787,122
hidenaga2.nig.ac.jp,29.7476,206
biocomplx.phibred.com,29.5751,8814
ht03.pf.chiba-u.jp,29.4579,190
lis-dev.agron.iastate.edu,29.0896,882
phytozome-olddev.jgi.doe.gov,29.0658,152
www.genome.med.kyoto-u.ac.jp,29.0000,16568
eco-blast1:8080,29.0000,356
medicago.jcvi.org,28.9965,28918
jbrowse.plantdhs.org,28.9921,1516
jcvi.org,28.9882,846
ai-geneviewdev1.niaid.nih.gov,28.8764,267
webapollo-dev.vectorbase.org:8080,28.8299,194
localhost:8080,28.8053,30831
tomatolab.cshl.edu,28.7484,759
gregorylab.bio.upenn.edu,28.4587,654
10.10.20.39,28.3946,147
www.jcvi.org,28.2370,5253
132.236.156.168,28.1704,452
dash,27.9517,808
127.0.1.1,27.6587,126
thehulk.sysbiol.cam.ac.uk:8080,27.4188,117
