Running Active Hosts by Month
,212.64.228.99,12787
solgenomics.net,137.224.252.10,10815
cancer.sanger.ac.uk,50.252.224.113,10438
ec2-54-193-41-226.us-west-1.compute.amazonaws.com,12.27.71.34,10199
cancer.sanger.ac.uk,198.0.161.205,8961
phytozome.jgi.doe.gov,159.226.89.2,8544
bang,50.205.79.186,8001
cancer.sanger.ac.uk,69.74.168.162,7974
gmod-dev.nal.usda.gov:8080,199.136.18.128,7309
hymenopteragenome.org:8080,128.206.129.3,7163
localhost:8080,98.232.227.58,6558
icebox.lbl.gov,67.171.228.119,5831
plmine.mpi-cbg.de:8088,141.5.11.5,5461
biocomplx.phibred.com,170.54.118.140,5292
,132.183.13.14,5232
bils-web.imbim.uu.se,130.238.82.21,4602
phytozome.jgi.doe.gov,59.50.66.35,4347
biocomplx.phibred.com,170.54.58.12,4325
10.0.0.48,37.153.211.164,4006
,198.140.178.250,3978
phytozome.jgi.doe.gov,181.118.144.200,3783
zombie.bioxray.au.dk,192.38.47.210,3773
cancer.sanger.ac.uk,58.213.163.242,3639
,198.160.190.11,3577
solgenomics.net,192.114.3.241,3546
phytozome.jgi.doe.gov,169.237.82.182,3539
www.jcvi.org,199.253.0.131,3229
sgn-test.sgn.cornell.edu,132.236.81.253,3006
solgenomics.net,133.26.84.66,3005
pollux:8080,202.123.56.189,3003
www.cottongen.org,129.186.252.13,2981
cancer.sanger.ac.uk,160.190.244.5,2909
webapollo.vectorbase.org,86.6.26.71,2908
cancer.sanger.ac.uk,162.129.251.72,2894
phytozome.jgi.doe.gov,210.75.224.24,2894
jbrowse.org,69.71.169.129,2869
jbrowse.informatics.jax.org,140.163.254.158,2852
,132.183.13.75,2840
jbrowse.org,140.120.203.45,2811
gryc.inra.fr,138.102.92.38, ,2766
weatherby.genetics.utah.edu,113.200.28.114,2765
jbrowse.informatics.jax.org,194.94.44.220,2748
phytozome.jgi.doe.gov,192.197.71.189,2707
phytozome.jgi.doe.gov,117.247.176.227,2680
137.189.43.55,137.189.43.181,2646
genome.igib.res.in,14.139.32.2,2629
agripestbase.org:8080,141.5.20.126,2560
www.genome.med.kyoto-u.ac.jp,203.181.255.2,2511
cancer.sanger.ac.uk,50.245.47.84,2385
ec2-54-193-41-226.us-west-1.compute.amazonaws.com,115.114.191.92,2371
aura.science.unitn.it,166.111.30.85,2343
localhost,50.81.65.183,2285
cancer.sanger.ac.uk,72.74.158.62,2205
,130.126.51.219,2195
10.35.229.180,134.53.245.129,2187
cancer.sanger.ac.uk,221.238.187.107,2165
10.0.1.50,73.34.115.71,2161
,61.180.241.57,2142
mockler-jbrowse.mocklerlab.org,124.16.173.7,2113
localhost,61.12.69.42,2112
phytozome.jgi.doe.gov,159.226.163.37,2100
jbrowse.informatics.jax.org,143.111.84.85,2073
solgenomics.net,14.139.61.2,2068
www.tomatogenome.net,14.139.69.38,2045
jbrowse-dev.jcvi.org,192.207.234.194,2028
bovinegenome.org:8080,128.206.129.129,1964
jbrowse.labs.intermine.org,131.111.185.25,1919
jbrowse.org,62.218.164.126,1914
solgenomics.net,111.203.22.24,1883
asparagus.uga.edu,213.126.40.250,1870
10.207.4.138,134.76.207.5,1857
jbrowse.jhhlab.tw,140.113.112.32,1838
pennycress.umn.edu,161.111.227.1,1828
cancer.sanger.ac.uk,164.2.255.244,1827
phytozome.jgi.doe.gov,192.124.26.250,1813
cancer.sanger.ac.uk,193.62.218.79,1799
www.tomatogenome.net,210.236.106.122,1793
solgenomics.net,195.37.46.254,1772
,147.99.208.86,1753
localhost:8080,128.206.129.167,1746
phytozome.jgi.doe.gov,131.111.30.34,1737
,147.99.102.224,,1725
solgenomics.net,141.14.218.150,1712
cancer.sanger.ac.uk,129.176.151.28,1697
cancer.sanger.ac.uk,193.63.217.2,1683
cancer.sanger.ac.uk,203.4.164.1,1649
medicago.jcvi.org,192.146.134.129,1645
cancer.sanger.ac.uk,124.16.129.7,1630
cancer.sanger.ac.uk,206.190.72.205,1623
phytozome.jgi.doe.gov,170.54.58.4,1594
localhost:8080,138.102.77.146,,1586
cancer.sanger.ac.uk,137.53.241.6,1544
lncrna.big.ac.cn,114.251.216.5,1539
icebox.lbl.gov,169.229.195.137,1532
cancer.sanger.ac.uk,121.241.197.226,1529
bipaa.genouest.org,162.38.175.241,1501
indigo-cultures.cbrc.kaust.edu.sa,109.171.137.211,1493
,132.183.13.9,1478
localhost,111.203.22.22,1470
jbrowse.org,128.104.239.140,1470
