,159.226.89.2,15048
,212.64.228.99,10340
www.actinidia.nz,202.36.135.22,9639
aura.science.unitn.it,141.48.25.71,9325
,202.127.146.194,7256
,128.252.16.235,6532
,128.252.11.235,6504
localhost:8080,67.171.228.119,4678
,150.214.223.200,4560
172.20.174.113,132.183.13.14,4501
127.0.0.1:8000,137.131.57.86,4207
,206.81.166.225,4052
192.168.1.115,73.34.115.71,4049
aklppr31.pfr.co.nz.:9080,202.36.135.22,3914
54.85.2.5,202.36.135.22,3673
localhost:8301,12.27.71.34,3604
10.0.0.20,213.126.40.250,3551
,202.127.146.193,3513
,82.8.130.68,3498
,199.253.0.131,3415
,210.212.240.146,3296
127.0.0.1,121.192.180.253,3248
localhost:8001,84.88.66.194,2877
localhost:8080,98.232.231.240,2876
,170.54.118.140,2727
geco.iplantcollaborative.org,150.135.211.224,2659
,192.114.3.241,2594
annotation-prod.scilifelab.se:8080,130.238.82.21,2478
gbcs-dev.embl.de,194.94.44.220,2458
bang.enz.local,50.205.79.186,2377
,159.226.208.134,2372
,115.114.191.92,2365
glass.phibred.com:8081,170.54.118.140,2363
,130.126.90.67,2329
uweb,212.143.99.102,2327
,61.117.144.227,2319
,59.50.66.35,2315
155.253.6.64,155.253.6.254,2310
,125.99.74.122,2290
sjcbioweb01.driscolls.com,12.130.157.65,2230
phytozome.jgi.doe.gov,159.226.89.2,2221
localhost:8301,128.205.165.195,2208
137.189.43.55,137.189.43.225,2158
115.145.138.239:8085,115.145.138.237,2157
localhost,137.131.57.86,2120
,148.247.225.20,2117
ann-nblrrome.tuebingen.mpg.de,192.124.26.250,2098
oryzasnp.org,202.123.56.189,2093
solgenomics.net,111.203.22.24,2089
localhost,12.27.71.34,2076
,193.48.227.68,2033
10.69.10.234,211.76.175.169,2032
bang,50.205.79.186,1992
localhost,128.206.129.129,1983
localhost,208.45.127.69,1926
dash,66.201.45.10,1913
dubcovskylab.ucdavis.edu,58.246.118.135,1843
pipelines.rgd.mcw.edu,141.106.71.223,1834
visual.ic4r.org,124.16.129.6,1815
,222.178.202.48,1805
,96.36.190.66,1795
,137.224.252.10,1766
whiteflygenomics.org,128.253.38.9,1746
,138.102.77.225,,1742
10.88.206.59,115.114.191.92,1732
plmine.mpi-cbg.de:8088,141.5.11.5,1731
,192.197.71.189,1727
gryc.inra.fr,138.102.92.206,,1707
133.26.84.46,133.26.84.63,1683
solgenomics.net,221.11.67.251,1616
,12.27.71.34,1577
www.yeastgenome.org,152.3.43.180,1567
,199.136.18.128,1563
pipelines.rgd.mcw.edu,141.106.71.195,1549
,66.249.64.204,1543
visual.ic4r.org,124.16.129.7,1543
coffee-webapollo.sgn.cornell.edu,160.213.240.210,1520
,148.247.230.253,1512
rcshige3.nig.ac.jp,133.39.75.72,1497
biopvm201.pfr.co.nz:9080,202.36.135.22,1490
localhost,121.242.99.230,1468
localhost:8080,24.22.126.233,1456
genomevolution.org,107.217.188.20,1444
analysis.archerdx.com,50.205.79.186,1425
,219.65.96.132,1416
rna.sysu.edu.cn,113.108.133.52,1414
,124.65.121.202,1409
denovo.cnag.cat,84.88.66.194,1388
,143.225.130.38,1370
,114.251.216.1,1369
localhost:8080,128.206.129.129,1343
rio.nzcorp.net,199.106.174.8,1340
10.0.0.48,46.102.226.204,1332
,155.230.166.83,1331
bipaa.genouest.org,162.38.175.241,1324
158.109.215.18,158.109.215.18,1320
,149.155.223.234,1310
solgenomics.net,137.224.252.13,1303
,200.9.237.254,1300
marinegenomics.oist.jp,203.181.243.17,1289
hicp.big.ac.cn,124.16.129.8,1289
,66.249.64.209,1280
10.4.4.74,199.253.0.131,1273
,114.251.216.5,1273
192.168.56.102,24.4.193.190,1270
ann-nblrrome.tuebingen.mpg.de,217.129.133.45,1266
cancer.sanger.ac.uk,163.221.240.100,1265
192.168.10.222,115.160.249.30,1256
gph.niid.go.jp,202.241.78.236,1245
192.168.10.200,220.249.79.78,1240
analysis.archerdx.com,142.196.78.181,1237
,190.64.49.42,1236
192.168.0.67:8085,115.145.138.237,1229
arete,66.201.45.10,1222
www.solgenomics.net,210.75.224.52,1222
,202.240.72.251,1217
,14.140.99.156,1215
,141.14.218.150,1214
localhost:8080,67.171.224.154,1203
172.20.174.113,132.183.13.75,1202
phytozome.jgi.doe.gov,210.75.224.24,1198
gbcs-dev,194.94.44.220,1195
grch37-cancer.sanger.ac.uk,122.193.29.74,1166
localhost:8301,14.140.99.156,1164
,66.249.64.214,1154
www.heliagene.org,147.99.102.224,1149
,132.248.32.3,1146
137.189.43.55,137.189.43.181,1138
,210.72.88.188,1137
solgenomics.net,192.114.3.241,1129
,128.219.49.14,1128
127.0.0.1,117.28.251.189,1123
,123.135.121.240,1123
,169.237.82.182,1123
,141.219.190.114,1117
,124.17.27.190,1116
,202.206.104.13,1104
192.168.103.9,194.165.226.26,1098
140.120.203.44,140.120.203.45,1097
www.echinobase.org,193.205.231.8,1089
,128.143.235.38,1086
localhost,133.6.126.87,1085
192.168.5.57,209.203.104.210,1082
localhost:8080,61.180.241.38,1075
,138.102.77.146,,1064
,14.139.61.2,1060
phytozome.jgi.doe.gov,222.206.22.206,1058
www.pristionchus.org,192.124.26.250,1057
,181.118.144.200,1057
localhost,198.140.178.250,1054
,141.161.13.236,1045
,68.207.233.206,1035
,200.89.69.48,1034
,130.126.255.37,1015
lis-stage.agron.iastate.edu,129.186.252.13,1013
,220.225.126.138,1013
aura.science.unitn.it,141.80.152.121,1012
,171.66.209.130,1009
localhost,202.41.10.3,1009
solgenomics.net,113.200.245.37,1008
,75.140.136.130,988
biocomplx.phibred.com,170.54.118.140,985
,130.225.98.207,982
,111.203.22.22,981
172.29.4.215:8080,202.123.56.189,981
lotus.au.dk,192.38.47.210,969
,134.58.253.57,951
solgenomics.net,60.191.1.4,949
140.120.203.44,61.141.21.104,948
,133.6.138.237,947
solgenomics.net,137.224.252.11,940
localhost:8090,128.206.129.147,936
,131.111.185.81,935
planmine.mpi-cbg.de:8088,141.5.11.5,934
solgenomics.net,31.205.102.1,930
,132.236.81.253,925
,114.251.216.17,925
bioinf.mind.meiji.ac.jp,133.26.84.63,924
phytozome.jgi.doe.gov,199.253.0.131,918
10.93.132.25,146.203.130.213,912
rgd.mcw.edu,141.106.71.194,906
phytozome.jgi.doe.gov,27.145.108.87,904
cancer.sanger.ac.uk,160.190.244.5,901
,198.137.20.78,900
,218.2.227.149,898
www.echinobase.org,130.158.222.222,896
54.85.2.5,130.216.147.244,894
,198.140.178.250,891
cancer.sanger.ac.uk,61.86.157.156,889
,66.249.66.20,887
,128.210.122.200,881
,133.39.75.72,877
,111.203.22.16,876
,200.10.201.225,872
medicago.jcvi.org,192.197.71.189,870
,74.131.66.198,870
localhost:8080,4.15.175.190,868
,111.203.22.17,861
192.168.1.137,73.34.115.71,859
,133.30.67.34,857
gryc.inra.fr,138.102.92.1, 1,850
,218.2.227.147,850
localhost:8080,50.196.1.246,846
solgenomics.net,150.214.223.200,846
localhost:3000,94.101.220.16,841
lncrna.big.ac.cn,124.16.129.8,830
localhost,69.29.92.62,830
localhost,141.20.62.214,828
,202.118.160.177,828
147.99.108.97,147.99.96.44,827
,192.240.44.30,822
solgenomics.net,141.14.218.150,822
solgenomics.net,85.115.33.180,821
aura.science.unitn.it,156.40.216.2,819
rio.nzcorp.net,94.101.220.16,818
192.168.56.102,169.229.195.172,818
,111.203.22.24,816
210.218.217.106,59.31.178.183,815
,114.251.216.186,814
,202.127.20.52,813
bmi.xmu.edu.cn,121.192.180.253,809
biocomp.phibred.com,170.54.118.140,809
,66.249.66.23,807
medicago.jcvi.org,192.146.134.129,806
,218.2.227.150,805
,132.248.13.5,801
,164.111.99.106,797
jbrowse.jhhlab.tw,140.113.112.32,792
efam.nzcorp.net,94.101.220.16,790
,24.217.25.130,788
,14.139.69.137,787
cap.ensemblgenomes.org,83.83.156.223,786
thoba.sanbi.ac.za:8080,41.164.8.114,786
medicago.jcvi.org,114.251.216.5,786
dev.novocraft.com,121.122.4.177,785
