,849937
cancer.sanger.ac.uk,172302
solgenomics.net,116121
phytozome.jgi.doe.gov,100167
rgd.mcw.edu,50276
localhost,43062
jbrowse.org,34708
localhost:8080,30291
www.yeastgenome.org,29938
140.120.203.44,29477
medicago.jcvi.org,24251
www.echinobase.org,22695
www.wormbase.org,19147
geisha.arizona.edu,17780
aura.science.unitn.it,16365
grch37-cancer.sanger.ac.uk,15842
jbrowse.informatics.jax.org,13918
csbl.bmb.uga.edu,12556
adenine.bradley.edu,11996
www.actinidia.nz,11598
localhost:8301,11484
www.genome.med.kyoto-u.ac.jp,11398
visual.ic4r.org,11352
gryc.inra.fr,9713
analysis.archerdx.com,9688
bipaa.genouest.org,9092
172.20.174.113,8737
planmine.mpi-cbg.de:8088,8492
genomevolution.org,7743
solgenomics.wur.nl,7646
www.flyrnai.org,7479
dubcovskylab.ucdavis.edu,7208
bioinf.gen.tcd.ie,7164
54.85.2.5,6586
annotation-prod.scilifelab.se:8080,6239
127.0.0.1,6125
lncrna.big.ac.cn,6104
whiteflygenomics.org,6003
127.0.0.1:8000,5620
oryzasnp.org,5344
localhost:8090,5330
pipelines.rgd.mcw.edu,5123
192.168.1.115,5010
www.heliagene.org,4961
icebox.lbl.gov,4774
marchantia.info,4739
marinegenomics.oist.jp,4597
localhost:8001,4587
cap.ensemblgenomes.org,4384
ann-nblrrome.tuebingen.mpg.de,4350
192.168.56.102,4250
epigenome.genetics.uga.edu,4122
137.189.43.55,3996
www.solgenomics.net,3992
aklppr31.pfr.co.nz.:9080,3914
lotus.au.dk,3887
localhost:8888,3779
10.0.0.20,3752
glass.phibred.com:8081,3376
www.niagads.org,3367
jbrowse.southgreen.fr,3327
bioinf.mind.meiji.ac.jp,3242
192.168.1.80,3236
legumeinfo.org,3221
peanutbase.org,3165
jbrowse.plantdhs.org,3148
192.248.21.78:8084,3029
denovo.cnag.cat,3014
10.88.206.59,2971
115.145.138.239:8085,2937
lulab.life.tsinghua.edu.cn,2929
geco.iplantcollaborative.org,2848
bang.enz.local,2831
sanger.kws.de,2818
www.immunobase.org,2769
bang,2664
coffee-webapollo.sgn.cornell.edu,2571
medicinalplantgenomics.msu.edu,2506
133.26.84.46,2486
rio.nzcorp.net,2464
gbcs-dev.embl.de,2458
hymenopteragenome.org,2455
155.253.6.64,2455
www.sgn.cornell.edu,2382
uweb,2336
sjcbioweb01.driscolls.com,2300
rna.sysu.edu.cn,2273
10.69.10.234,2254
apollo.tgac.ac.uk,2246
ijgvd.megabank.tohoku.ac.jp,2232
aspgd.broadinstitute.org,2205
dash,2200
cgm.sjtu.edu.cn,2151
www.homd.org,2133
plmine.mpi-cbg.de:8088,2118
bmi.xmu.edu.cn,2093
192.168.56.101,2078
webapollo.bioinformatics.csiro.au,2037
216.47.151.240:8080,1991
arete,1978
