,833699
solgenomics.net,171748
cancer.sanger.ac.uk,156212
rgd.mcw.edu,66159
phytozome.jgi.doe.gov,42546
www.yeastgenome.org,40771
localhost,38160
140.120.203.44,33627
jbrowse.org,32686
localhost:8080,25217
www.wormbase.org,21644
www.echinobase.org,21442
medicago.jcvi.org,19972
adenine.bradley.edu,19349
aura.science.unitn.it,17248
grch37-cancer.sanger.ac.uk,15133
geisha.arizona.edu,14506
jbrowse.informatics.jax.org,13752
visual.ic4r.org,13640
ann-nblrrome.tuebingen.mpg.de,13490
genome.microbedb.jp,12876
csbl.bmb.uga.edu,12707
www.actinidia.nz,12327
genomevolution.org,11956
analysis.archerdx.com,10135
planmine.mpi-cbg.de:8088,9718
127.0.0.1:8000,9693
bipaa.genouest.org,9250
gryc.inra.fr,8647
www.genome.med.kyoto-u.ac.jp,8388
localhost:8301,8347
192.168.1.115,7979
bioinf.gen.tcd.ie,7522
dubcovskylab.ucdavis.edu,7167
www.flyrnai.org,7117
pipelines.rgd.mcw.edu,7051
lncrna.big.ac.cn,6111
www.heliagene.org,6094
whiteflygenomics.org,5872
www.immunobase.org,5383
solgenomics.wur.nl,5368
annotation-prod.scilifelab.se:8080,5367
jbrowse.southgreen.fr,5355
epigenome.genetics.uga.edu,5120
marinegenomics.oist.jp,4957
localhost:8001,4944
icebox.lbl.gov,4864
172.20.174.113,4744
www.solgenomics.net,4739
oryzasnp.org,4579
plmine.mpi-cbg.de:8088,4530
marchantia.info,4461
bioinf.mind.meiji.ac.jp,4397
lotus.au.dk,4389
aklppr31.pfr.co.nz.:9080,4188
glass.phibred.com:8081,4154
localhost:8090,4126
legumeinfo.org,4073
www.niagads.org,3921
216.47.151.240:8080,3908
dash,3899
127.0.0.1,3866
jbrowse.intermine.org,3762
10.0.0.20,3705
localhost:8888,3566
peanutbase.org,3386
jbrowse.plantdhs.org,3360
denovo.cnag.cat,3358
www.sgn.cornell.edu,3327
www.hgvd.genome.med.kyoto-u.ac.jp,3244
webapollo2.vectorbase.org,3241
192.168.1.80,3236
54.85.2.5,3025
snp-seek.irri.org,3009
115.145.138.239:8085,2937
137.189.43.55,2929
apollo.tgac.ac.uk,2885
192.168.56.102,2876
aestivum.accwi.org.au:8080,2836
ijgvd.megabank.tohoku.ac.jp,2825
rna.sysu.edu.cn,2802
10.88.206.59,2779
uweb,2727
coffee-webapollo.sgn.cornell.edu,2721
cap.ensemblgenomes.org,2651
158.109.215.18,2638
133.26.84.46,2602
medicinalplantgenomics.msu.edu,2578
gph.niid.go.jp,2570
hymenopteragenome.org,2567
bang,2550
geco.iplantcollaborative.org,2493
gbcs-dev.embl.de,2459
cpt.tamu.edu,2426
bbric-pipelines.toulouse.inra.fr,2403
bang.enz.local,2360
lulab.life.tsinghua.edu.cn,2219
aspgd.broadinstitute.org,2195
arete,2190
sysbio.sysu.edu.cn,2190
bioinfor.org,2185
www.homd.org,2121
cgm.sjtu.edu.cn,2085
hicp.big.ac.cn,2070
www.rgenome.net,2037
mmb.irbbarcelona.org,2037
180.208.58.19,2030
10.0.0.48,1996
bmi.xmu.edu.cn,1970
knowpulse.usask.ca,1949
dev.jbrowse.southgreen.fr,1947
192.168.10.222,1940
www.pristionchus.org,1905
localhost:8081,1880
192.248.21.78:8084,1873
rio.nzcorp.net,1864
jbrowse.jhhlab.tw,1854
crispr.technology,1807
141.244.40.114,1802
webapollo.bioinformatics.csiro.au,1776
dna-marker.biocenter.helsinki.fi,1770
sjcbioweb01.driscolls.com,1765
192.168.56.101,1739
beta.immunobase.org,1717
210.218.217.106,1715
bioinf.eva.mpg.de,1691
137.189.43.160:8080,1683
mockler-jbrowse.mocklerlab.org,1671
popfly.uab.cat,1646
jbrowse.intranet.dow.com,1643
www.chogenome.org,1636
abims.sb-roscoff.fr,1605
www.tomatogenome.net,1564
nicotiana-webapollo.sgn.cornell.edu,1557
sanger.kws.de,1549
wolferine.ucd.ie,1533
cr28603.uzbrussel.be,1524
155.253.6.64,1506
biopvm201.pfr.co.nz:9080,1490
sunflowergenome.org,1451
10.4.4.74,1448
147.99.108.97,1443
assay.archerdx.com,1440
proteinmodelling-server.swan.ac.uk,1421
pathogenseq.lshtm.ac.uk,1381
imethyl.iwate-megabank.org,1374
www.pseudomonas.com,1363
triticeaetoolbox.org,1362
bovinegenome.org,1362
donking.synpromics.com,1352
192.168.5.57,1347
10.93.132.25,1345
jbrowse,1328
efam.nzcorp.net,1325
sweetpotato.plantbiology.msu.edu,1322
tools.genxpro.net,1319
nfingb.leibniz-fli.de,1307
yeastgenome.org,1300
bioinfolab.miamioh.edu,1292
betula.biosci.helsinki.fi:8080,1288
biocomplx.phibred.com,1278
rcshige3.nig.ac.jp,1276
dev2.apps.thermofisher.com,1275
www.jcvi.org,1273
archer4011ipu.chop.edu,1273
10.71.115.70,1271
lis-stage.agron.iastate.edu,1269
arkham.exp.dc.uba.ar,1260
staging.wormbase.org,1246
aquarius.mskcc.org,1226
localhost:8000,1216
jbrowse-test.sgn.cornell.edu,1210
data.koalagenome.org,1209
genome.igib.res.in,1201
target.sbg.qb.fcen.uba.ar,1196
sgn.cornell.edu,1186
peach.igh.cnrs.fr,1167
www.bioinformatics.nl,1154
titin.ucd.ie,1145
localhost:63342,1142
apollo.ppglab.org,1139
pathos:8080,1138
mirlab.sysu.edu.cn,1132
10.69.10.234,1132
gbcs-dev,1106
www.picb.ac.cn,1105
pm.sysu.edu.cn,1086
