,1322951
cancer.sanger.ac.uk,1218747
phytozome.jgi.doe.gov,712165
solgenomics.net,297715
localhost,166072
jbrowse.org,108100
localhost:8080,97101
medicago.jcvi.org,74816
rgd.mcw.edu,69012
www.genome.med.kyoto-u.ac.jp,54321
140.120.203.44,50621
jbrowse.informatics.jax.org,49734
grch37-cancer.sanger.ac.uk,41646
www.echinobase.org,41202
www.yeastgenome.org,40772
geisha.arizona.edu,37817
csbl.bmb.uga.edu,33557
bipaa.genouest.org,33139
www.flyrnai.org,30915
bioinf.gen.tcd.ie,28763
www.wormbase.org,26721
aura.science.unitn.it,26668
127.0.0.1,26213
14.139.59.221,21084
patricbrc.org,20874
gryc.inra.fr,19770
adenine.bradley.edu,19605
genomevolution.org,18698
visual.ic4r.org,17225
icebox.lbl.gov,16785
dubcovskylab.ucdavis.edu,16784
betula.biosci.helsinki.fi:8080,16423
biocomplx.phibred.com,16113
planmine.mpi-cbg.de:8088,15401
analysis.archerdx.com,15036
bils-web.imbim.uu.se,14928
localhost:8301,14073
ann-nblrrome.tuebingen.mpg.de,13490
agripestbase.org:8080,13203
plmine.mpi-cbg.de:8088,13148
lncrna.big.ac.cn,12877
genome.microbedb.jp,12876
www.actinidia.nz,12845
aspgd.broadinstitute.org,12466
annotation-prod.scilifelab.se:8080,12128
www.tomatogenome.net,11875
127.0.0.1:8000,11874
172.20.174.113,11551
sanger.kws.de,11089
jbrowse.brachypodium.org,10954
localhost:3000,10391
whiteflygenomics.org,10048
geco.iplantcollaborative.org,9915
www.sgn.cornell.edu,9564
www.jcvi.org,9488
solgenomics.wur.nl,9010
oryzasnp.org,8890
www.homd.org,8615
192.168.1.115,8365
genomes.missouri.edu:8080,8319
denovo.cnag.cat,8250
zombie.bioxray.au.dk,8242
bioinfo2.ugr.es,8241
localhost:8888,8190
localhost:8090,7877
137.189.43.55,7785
marinegenomics.oist.jp,7683
jbrowse.jhhlab.tw,7184
cap.ensemblgenomes.org,7181
pipelines.rgd.mcw.edu,7166
bioinformatics.forsyth.org,7136
mockler-jbrowse.mocklerlab.org,7128
ec2-54-193-40-41.us-west-1.compute.amazonaws.com,7046
genome.igib.res.in,6926
darter2.westga.edu,6778
bang,6730
www.heliagene.org,6705
54.85.2.5,6682
gmod-dev.nal.usda.gov:8080,6658
pathos:8080,6634
medicago-dev.jcvi.org,6552
10.0.0.20,6552
bioinfo5.ugr.es,6547
chlorella.unl.edu,6516
ijgvd.megabank.tohoku.ac.jp,6431
medicinalplantgenomics.msu.edu,6427
jbrowse.girg.um.edu.my,6373
webapollo.vectorbase.org,6373
www.sunflowergenome.org,6067
hymenopteragenome.org:8080,6014
jbrowse,5881
gbcs-dev,5865
epigenome.genetics.uga.edu,5827
192.168.56.101,5821
192.168.56.102,5715
marchantia.info,5701
10.0.0.48,5687
www.solgenomics.net,5630
jbrowse.plantdhs.org,5498
webapollo.bioinformatics.csiro.au,5481
133.26.84.46,5454
jbrowse.southgreen.fr,5384
www.immunobase.org,5383
legumeinfo.org,5267
localhost:8001,5260
apollo.tgac.ac.uk,5230
giavap-genomes.ibpc.fr:8080,5160
dash,4999
gbr3,4980
jbrowse.intermine.org,4942
bioinf.mind.meiji.ac.jp,4918
140.113.15.87,4879
arete,4852
lulab.life.tsinghua.edu.cn,4835
apollo.bio.ed.ac.uk,4818
patricbrc.vbi.vt.edu,4716
biocc.hrbmu.edu.cn:82,4699
peanutbase.org,4696
137.224.100.212,4677
servbio.hpc.ncsu.edu:81,4626
coffee-genome.org,4500
rio.nzcorp.net,4496
localhost:8000,4462
lotus.au.dk,4389
asrp.danforthcenter.org,4315
crispr.technology,4314
archer.dev.enzymatics.com,4284
titin.ucd.ie,4225
girg.um.edu.my,4210
aklppr31.pfr.co.nz.:9080,4188
glass.phibred.com:8081,4154
www.niagads.org,4070
133.48.62.140,4064
www.rgenome.net,3988
216.47.151.240:8080,3985
hymenopteragenome.org,3944
mandolin.caltech.edu:8080,3881
jbrowse.intranet.dow.com,3872
genome.integragen.com,3837
sysbio.sysu.edu.cn,3832
cgm.sjtu.edu.cn,3768
jbrowse-test.sgn.cornell.edu,3681
bang.enz.local,3653
www.chogenome.org,3577
mirlab.sysu.edu.cn,3553
flypeakbase.sysbiol.cam.ac.uk,3501
192.168.12.69,3499
tools.genxpro.net,3456
zome-dev.phytozome.net,3448
asparagus.uga.edu,3433
sacibase.ibb.unesp.br,3417
www.bowhead-whale.org,3416
url,3357
ep.dbcls.jp,3337
235318.ichengyun.net,3298
biocomp.phibred.com,3267
10.88.206.59,3260
www.hgvd.genome.med.kyoto-u.ac.jp,3244
webapollo2.vectorbase.org,3241
192.168.1.80,3236
chambo.umd.edu,3199
mmodev.sb-roscoff.fr,3199
pathogenseq.lshtm.ac.uk,3199
www.pristionchus.org,3177
192.248.21.78:8084,3127
archer.enzymatics.com,3098
myers.bioinformatics.nl,3098
hastings.hmgc.mcw.edu,3080
plantgenomics.snu.ac.kr,3076
staging.wormbase.org,3045
cazy208.afmb.local,3031
sjcbioweb01.driscolls.com,3022
snp-seek.irri.org,3010
ec2-54-193-41-226.us-west-1.compute.amazonaws.com,2971
hts-etl-01,2969
mandolin.caltech.edu,2953
192.168.6.10:83,2950
weatherby.genetics.utah.edu:8080,2938
gbcs-dev.embl.de,2938
115.145.138.239:8085,2937
www.genome.arizona.edu,2930
210.46.85.205:8080,2920
dev.novocraft.com,2916
wolferine.ucd.ie,2903
knowpulse.usask.ca,2873
www.bioinformatics.nl,2860
aestivum.accwi.org.au:8080,2849
rgv.genouest.org,2840
sgn.cornell.edu,2839
icebox.lbl.gov:8080,2829
10.42.0.1:8050,2823
rna.sysu.edu.cn,2802
research.nhgri.nih.gov,2780
www.picb.ac.cn,2775
coffee-webapollo.sgn.cornell.edu,2774
dmb-cosmic.sandbox.sanger.ac.uk,2748
jbrowse.genoox.com.s3-website-us-east-1.amazonaws.com,2745
uweb,2727
bioinfor.org,2699
crdd.osdd.net,2692
gmod2.sb-roscoff.fr,2666
158.109.215.18,2638
sunflowergenome.org,2629
bmi.xmu.edu.cn,2621
localhost:8081,2575
peach.igh.cnrs.fr,2575
dnamethylome.org,2572
gph.niid.go.jp,2570
bovinegenome.org:8080,2532
pichiagenome.boku.ac.at,2496
192.168.10.200,2487
rcshige3.nig.ac.jp,2484
