month,accesses,unique hosts, unique clients,tracks-mean, tracks-hi, tracks-mode,plugins-mean, plugins-hi, plugins-mode
2017-02, 160787, 962, 21978, 125.24198473757, 22275, 24, 2.8009789348641, 14, 6
2017-01, 202257, 1017, 25540, 94.798731317087, 22275, 24, 2.4763296202356, 14, 4
2016-12, 162028, 951, 22249, 113.7820376725, 22275, 24, 2.2199681536525, 14, 4
2016-11, 209494, 1070, 27587, 101.72884664955, 22275, 24, 2.2280876779287, 14, 4
2016-10, 213528, 1049, 26808, 100.22405024165, 22275, 24, 2.2662226967892, 13, 4
2016-09, 198026, 1087, 25872, 108.94991566764, 22275, 24, 2.1674780079384, 12, 4
2016-08, 178058, 990, 22189, 96.689679767267, 22275, 24, 2.2243819429624, 11, 4
2016-07, 189355, 974, 22411, 192.15426579705, 22275, 24, 2.1549417760292, 14, 4
2016-06, 215281, 1085, 24439, 185.03482889804, 203489, 24, 2.1272476437772, 11, 4
2016-05, 211062, 1091, 25559, 205.93758232178, 21545, 26, 2.1209218144431, 8, 4
2016-04, 217554, 1003, 26038, 170.63427011225, 20967, 26, 2.2149857046986, 12, 4
2016-03, 226315, 1024, 25267, 156.4162074984, 20517, 26, 2.1939597463712, 8, 4
2016-02, 175154, 909, 21759, 200.07319273325, 20021, 22, 2.1168514564326, 9, 4
2016-01, 173297, 859, 20387, 122.28224377802, 10023, 22, 2.1253685868769, 5, 4
2015-12, 162872, 825, 18700, 181.82076108846, 10295, 26, 2.0853123925537, 5, 4
2015-11, 224442, 901, 24359, 79.166599834256, 9150, 12, 1.9064078915711, 6, 4
2015-10, 218251, 860, 24385, 96.557880605358, 15803, 12, 1.8033411072572, 5, 4
2015-09, 202126, 829, 23112, 80.772028338759, 9150, 12, 1.8697446147453, 6, 4
2015-08, 175237, 780, 19585, 94.017735980415, 9090, 12, 1.8440740254627, 6, 4
2015-07, 210154, 795, 21629, 70.357761451126, 6606, 12, 1.9604385355501, 6, 4
2015-06, 206661, 794, 22532, 61.34865310823, 7501, 12, 1.490223119021, 6, 2
2015-05, 185869, 751, 21764, 63.180756339142, 24735, 12, 1.3728055781222, 5, 2
2015-04, 181519, 713, 20520, 52.02727538164, 9145, 12, 1.3182091130956, 3, 2
2015-03, 180573, 706, 21362, 55.419542234996, 7258, 10, 1.2689383241127, 2, 2
2015-02, 147327, 700, 18359, 49.089277593381, 7258, 10, 1.2702831117175, 5, 2
2015-01, 147733, 654, 18204, 46.536400127257, 4006, 10, 1.1797431853411, 5, 2
2014-12, 127782, 622, 15828, 54.790510400526, 34309, 10, 1.1065408273466, 5, 2
2014-11, 126508, 635, 17110, 64.427838555664, 34309, 10, 1.0924052233851, 5, 2
2014-10, 137409, 653, 17325, 47.845403139532, 4006, 10, 1.0817850359147, 5, 2
2014-09, 131833, 598, 15285, 122.92202255884, 5381, 10, 1.1171785516525, 5, 2
2014-08, 118143, 555, 13026, 139.18365878639, 3012, 9, 1.1324750514207, 5, 2
2014-07, 134922, 553, 13479, 99.309734513274, 3013, 9, 1.143505136301, 5, 2
2014-06, 119073, 539, 13310, 56.519773584272, 3125, 9, 1.150260764405, 5, 2
2014-05, 114252, 568, 13333, 62.11516647411, 10650, 9, 1.1383170535308, 6, 2
2014-04, 119240, 511, 13755, 33.858520630661, 4868, 9, 1.120077155317, 6, 2
2014-03, 109077, 512, 13380, 28.583963622028, 4783, 9, 1.1139561960817, 4, 2
2014-02, 92708, 486, 12356, 36.274949303189, 9556, 9, 1.1004659792035, 4, 2
2014-01, 46048, 449, 4165, 52.211257817929, 9556, 23, 1.121308200139, 4, 2
2013-12, 30305, 358, 2928, 45.322323049002, 2777, 23, 1.1451575647583, 4, 2
2013-11, 47900, 394, 3964, 56.335553235908, 2775, 2, 1.0393945720251, 4, 2
2013-10, 38860, 407, 3281, 50.300540401441, 2777, 12, 1.0207153885744, 4, 2
2013-09, 32597, 321, 2269, 48.057551308403, 2756, 16, 1.0079761941283, 4, 2
2013-08, 28397, 283, 2027, 57.692291439237, 56226, 3, 1, 1, 0
2013-07, 23803, 331, 1782, 85.679242112339, 2426, 3, 1, 1, 0
2013-06, 24629, 287, 1542, 71.790409679646, 2423, 3, 1.000284217792, 4, 4
2013-05, 22511, 230, 1410, 73.50273199769, 2423, 21, 1.0000888454533, 2, 2
2013-04, 22812, 222, 1453, 62.252016482553, 6429, 14, 1.0003506926179, 4, 2
2013-03, 18202, 179, 1209, 30.557685968575, 2247, 14, 1.0004944511592, 4, 4
2013-02, 9590, 152, 1061, 62.260166840459, 2249, 14, 1, 1, 0
2013-01, 12381, 159, 1025, 39.048138276391, 2234, 20, 1.0075115095711, 4, 4
2012-12, 12639, 96, 823, 62.954110293536, 2244, 20, 1.0016615238547, 4, 4
2012-11, 11490, 89, 833, 40.622193211488, 2016, 3, 1.0007832898172, 4, 4
2012-10, 8526, 87, 721, 146.56826178747, 2016, 3, 1.0007037297678, 4, 4
2012-09, 8892, 87, 518, 108.88686459739, 1868, 15, 1.0003373819163, 2, 2
