host,host count, client count, distinct client count
jbrowse.informatics.jax.org, 13919, 13919, 6437, 
phytozome.jgi.doe.gov, 55099, 55099, 5201, 
coffee-genome.org, 95, 95, 23, 
bioinf.gen.tcd.ie, 7576, 7576, 1070, 
www.wormbase.org, 21630, 21630, 8315, 
, 818623, 818623, 52625, 
www.jcvi.org, 1268, 1268, 192, 
localhost:8888, 3355, 3355, 90, 
csbl.bmb.uga.edu, 12766, 12766, 2490, 
data.koalagenome.org, 841, 841, 99, 
cancer.sanger.ac.uk, 155891, 155891, 40210, 
www.genome.med.kyoto-u.ac.jp, 8028, 8028, 1353, 
www.echinobase.org, 21316, 21316, 1780, 
192.168.7.11, 933, 933, 5, 
viewer.shigen.info, 717, 717, 116, 
biocenter.sysu.edu.cn, 292, 292, 128, 
192.168.56.102:8080, 11, 11, 4, 
marchantia.info, 4438, 4438, 379, 
gensas.bioinfo.wsu.edu, 303, 303, 50, 
marinegenomics.oist.jp, 4923, 4923, 693, 
aspgd.broadinstitute.org, 2213, 2213, 629, 
127.0.0.1:8082, 3, 3, 2, 
jbrowse.org, 32494, 32494, 11699, 
ecoevo-db.unit.oist.jp, 94, 94, 2, 
www.actinidia.nz, 12300, 12300, 132, 
icebox.lbl.gov, 4886, 4886, 1027, 
lncrna.big.ac.cn, 6119, 6119, 1809, 
oryzasnp.org, 4544, 4544, 542, 
nfingb.leibniz-fli.de, 1295, 1295, 189, 
172.28.1.200:1336, 122, 122, 3, 
knowpulse.usask.ca, 1948, 1948, 315, 
geisha.arizona.edu, 14232, 14232, 2063, 
rcshige3.nig.ac.jp, 1268, 1268, 18, 
192.168.56.102, 2844, 2844, 36, 
10.46.33.101:8443, 433, 433, 3, 
172.29.4.215:8080, 719, 719, 2, 
visual.ic4r.org, 14124, 14124, 2149, 
pathogenseq.lshtm.ac.uk, 1388, 1388, 480, 
v22.popgenie.org, 171, 171, 73, 
crispr.technology, 1807, 1807, 111, 
192.168.0.67:8085, 854, 854, 2, 
localhost, 38484, 38484, 927, 
medicago.jcvi.org, 19748, 19748, 1366, 
jbrowse.girg.um.edu.my, 702, 702, 257, 
140.120.203.44, 34174, 34174, 4438, 
seeders.iptime.org:4880, 9, 9, 1, 
dnamethylome.org, 540, 540, 171, 
tgenomebrowser, 183, 183, 1, 
192.248.21.78:8084, 1776, 1776, 59, 
www.genome.arizona.edu, 975, 975, 617, 
210.46.85.173:8011, 1, 1, 1, 
192.168.1.230:8081, 252, 252, 1, 
genedenovoweb.ticp.net:81, 536, 536, 154, 
localhost:8443, 4, 4, 2, 
sjcbioweb01.driscolls.com, 1696, 1696, 5, 
10.234.10.116, 141, 141, 3, 
137.189.43.55, 2896, 2896, 120, 
121.184.62.20, 4, 4, 1, 
103.18.1.188, 217, 217, 24, 
192.168.1.101, 530, 530, 4, 
10.10.155.175, 50, 50, 1, 
snipadev.qatar-med.cornell.edu, 372, 372, 8, 
solgenomics.wur.nl, 5256, 5256, 408, 
10.0.0.20, 3728, 3728, 6, 
imjbrowse-whattodo.rhcloud.com, 1, 1, 1, 
grch37-cancer.sanger.ac.uk, 15064, 15064, 3692, 
marxianus.labkm.net, 2, 2, 1, 
www.rmbreeding.cn, 559, 559, 188, 
cgm.sjtu.edu.cn, 2133, 2133, 237, 
medicinalplantgenomics.msu.edu, 2580, 2580, 476, 
bils-web.imbim.uu.se, 23, 23, 10, 
gryc.inra.fr, 8474, 8474, 290, 
webblast.ipk-gatersleben.de, 136, 136, 3, 
bioinfor.org, 2228, 2228, 123, 
130.92.155.151:8085, 649, 649, 15, 
ec2-54-201-126-170.us-west-2.compute.amazonaws.com, 160, 160, 7, 
ipomoeanil.nibb.ac.jp, 4, 4, 2, 
165.246.44.43, 7, 7, 2, 
maizeinflorescence.org, 429, 429, 103, 
www.chogenome.org, 1601, 1601, 467, 
141.244.133.122, 329, 329, 54, 
jbrowse.hpcagrogenomics.wur.nl, 399, 399, 19, 
efam.nzcorp.net, 1338, 1338, 17, 
rio.nzcorp.net, 1860, 1860, 16, 
archer, 465, 465, 2, 
192.168.25.105, 406, 406, 1, 
sanger.kws.de, 1459, 1459, 114, 
legumeinfo.org, 4383, 4383, 577, 
www.bioinformatics.nl, 1139, 1139, 155, 
genome.igib.res.in, 1182, 1182, 509, 
localhost:3000, 1023, 1023, 18, 
pathos:8080, 1105, 1105, 30, 
myers.bioinformatics.nl, 892, 892, 36, 
140.113.15.88, 59, 59, 7, 
furlonglab.embl.de, 915, 915, 143, 
rmbreeding.net, 93, 93, 33, 
esharkgenome.imcb.a-star.edu.sg:8000, 238, 238, 25, 
nioo0025.nioo.int, 113, 113, 1, 
analysis.archerdx.com, 10091, 10091, 567, 
fabienpichon.com, 648, 648, 8, 
aura.science.unitn.it, 17180, 17180, 346, 
annotation-prod.scilifelab.se:8080, 5327, 5327, 330, 
denovo.cnag.cat, 3365, 3365, 362, 
collembolomics.nl, 401, 401, 97, 
research.nhgri.nih.gov, 282, 282, 96, 
www.naked-mole-rat.org, 867, 867, 204, 
www.fabienpichon.com, 8, 8, 4, 
kona.nhgri.nih.gov, 132, 132, 44, 
bipaa.genouest.org, 9029, 9029, 627, 
www.sunflowergenome.org, 245, 245, 35, 
192.168.16.55, 76, 76, 3, 
jbrowse, 1298, 1298, 28, 
localhost:8082, 113, 113, 5, 
x.platomics.com, 2, 2, 1, 
apollo.tgac.ac.uk, 2846, 2846, 193, 
192.168.10.200, 1030, 1030, 51, 
genome.integragen.com, 913, 913, 70, 
gbdev.nig.ac.jp, 277, 277, 9, 
122.205.95.122, 92, 92, 51, 
10.47.117.93, 166, 166, 1, 
rgd.mcw.edu, 67686, 67686, 17859, 
lulab.life.tsinghua.edu.cn, 2237, 2237, 972, 
www.pristionchus.org, 1929, 1929, 159, 
www.flyrnai.org, 7153, 7153, 1131, 
olympus.unige.ch:8080, 178, 178, 7, 
ebiokit.ibmbb.edu.lk:8084, 5, 5, 4, 
steinmetzlab.embl.de, 53, 53, 6, 
olympus.unige.ch, 8, 8, 4, 
rd-jbrowsedev.app.pmi, 5, 5, 1, 
rd-jbrowseqa.app.pmi, 6, 6, 2, 
www.tomatogenome.net, 1535, 1535, 380, 
tools.genxpro.net, 1367, 1367, 360, 
eco-thomas1, 9, 9, 1, 
