MONTH,accesses,unique hosts, unique clients,tracks-mean, tracks-hi, tracks-mode,plugins-mean, plugins-hi, plugins-mode
2017-02, 14518, 139, 1309, 23.74493731919, 685, 6, 2.8573494971759, 7, 3, 
2017-01, 17356, 131, 1277, 31.156602903895, 685, 6, 2.856937082277, 7, 2, 
2016-12, 13293, 123, 973, 31.54073572557, 505, 19, 2.7579177010457, 6, 3, 
2016-11, 19361, 112, 1252, 30.822581478229, 1870, 18, 2.6639119880171, 9, 3, 
2016-10, 19163, 124, 1323, 30.242968220007, 505, 6, 2.5507488389083, 9, 2, 
2016-09, 18499, 123, 1328, 34.766690091356, 505, 6, 2.6317098221525, 7, 3, 
2016-08, 12213, 106, 889, 39.906493081143, 1870, 6, 2.8635879800213, 9, 2, 
2016-07, 13749, 111, 1164, 33.693504982181, 687, 6, 2.6525565495672, 14, 2, 
2016-06, 14630, 105, 1214, 28.227682843472, 505, 24, 2.6066302118934, 8, 2, 
2016-05, 16875, 138, 1193, 29.3088, 505, 24, 2.6063407407407, 8, 2, 
2016-04, 18755, 110, 1479, 41.207517995201, 1870, 23, 3.0539056251666, 12, 2, 
2016-03, 20383, 126, 1413, 32.89422558014, 595, 23, 2.3023107491537, 7, 2, 
2016-02, 17658, 119, 1376, 35.288084720806, 593, 56, 2.1687620342055, 5, 2, 
2016-01, 18333, 112, 1113, 31.447389952545, 1870, 3, 2.0939835269732, 5, 2, 
2015-12, 15801, 116, 1000, 33.101765711031, 584, 7, 2.5076893867477, 5, 2, 
2015-11, 16079, 131, 1084, 42.236955034517, 593, 55, 2.1330928540332, 5, 2, 
2015-10, 14253, 105, 1233, 59.587665754578, 594, 7, 2.0152950256086, 4, 2, 
2015-09, 13047, 113, 1046, 53.063539510999, 748, 3, 1.9616770138729, 3, 2, 
2015-08, 14158, 96, 793, 50.380279700523, 559, 20, 1.9825540330555, 3, 2, 
2015-07, 14423, 97, 876, 44.860153920821, 446, 73, 1.9824585731124, 3, 2, 
2015-06, 13120, 92, 983, 38.504954268293, 447, 71, 1.9805640243902, 3, 2, 
2015-05, 13803, 90, 893, 37.138303267406, 439, 52, 1.9776860102876, 2, 2, 
2015-04, 14805, 75, 911, 32.375008443094, 387, 52, 1.9635933806147, 2, 2, 
2015-03, 15869, 93, 894, 28.836662675657, 387, 52, 1.9688071081984, 2, 2, 
2015-02, 13748, 107, 792, 32.140675007274, 387, 3, 1.9322810590631, 2, 2, 
2015-01, 12664, 88, 774, 37.237760581175, 387, 52, 1.9290903348073, 2, 2, 
2014-12, 12388, 76, 765, 35.11543429125, 335, 52, 1.9303358088473, 3, 2, 
2014-11, 11637, 69, 913, 37.339176763771, 403, 58, 1.9321130875655, 2, 2, 
2014-10, 10777, 87, 823, 30.725248213789, 335, 58, 1.9307785097894, 3, 2, 
2014-09, 14579, 94, 749, 38.415940736676, 1560, 58, 1.9636463406269, 2, 2, 
2014-08, 12448, 77, 706, 43.199148457584, 403, 57, 1.9557358611825, 3, 2, 
2014-07, 13928, 78, 761, 60.275560022975, 599, 5, 1.95562894888, 2, 2, 
2014-06, 16066, 89, 907, 37.239574256193, 378, 54, 1.9559940246483, 2, 2, 
2014-05, 13152, 106, 841, 37.487834549878, 377, 52, 1.9472323600973, 2, 2, 
2014-04, 14074, 69, 848, 36.917933778599, 1560, 52, 1.878499360523, 2, 2, 
2014-03, 13688, 74, 734, 29.119155464641, 1560, 14, 1.8194769140853, 2, 2, 
2014-02, 10331, 73, 605, 22.692091762656, 1560, 14, 1.7488142483787, 2, 2, 
2014-01, 8119, 64, 481, 25.190663874861, 1560, 23, 1.5230939770908, 2, 2, 
2013-12, 7225, 70, 336, 25.810657439446, 376, 5, 1.4608996539792, 2, 2, 
2013-11, 7109, 57, 361, 27.839358559572, 1560, 44, 1.1526234350823, 2, 2, 
2013-10, 5018, 51, 300, 23.926464726983, 372, 10, 1.0506177760064, 2, 2, 
2013-09, 5251, 59, 239, 25.239763854504, 1560, 3, 1, 1, 0, 
2013-08, 4267, 43, 219, 23.221935786267, 1560, 3, 1, 1, 0, 
2013-07, 2588, 59, 217, 33.604327666151, 1560, 3, 1, 1, 0, 
2013-06, 3095, 44, 283, 40.227140549273, 1561, 14, 1, 1, 0, 
2013-05, 4537, 30, 268, 20.716993608111, 70, 14, 1.0004408199251, 2, 2, 
2013-04, 6776, 31, 428, 21.429014167651, 94, 14, 1.0007378984652, 2, 2, 
2013-03, 6596, 23, 320, 23.384930260764, 94, 14, 1, 1, 0, 
2013-02, 2094, 10, 260, 18.775071633238, 105, 14, 1, 1, 0, 
2013-01, 1939, 12, 173, 27.363073749355, 181, 14, 1, 1, 0, 
2012-12, 946, 3, 40, 42.525369978858, 54, 44, 1, 1, 0, 
2012-01, 1, 1, 1, 288, 288, 288, 2, 2, 2, 
