host,mean,count
genomics.dote.hu,9867.5376,173
oryzasnp.org,9145.0000,324
172.29.4.215:8080,9137.6986,2007
snp-seek.irri.org,8419.7365,8137
popfly.uab.cat,4074.6702,3226
rna.sysu.edu.cn,3872.2015,3106
cgm.sjtu.edu.cn,3208.1022,3700
rmbreeding.net,3025.0000,199
www.rmbreeding.cn,3005.7520,1726
neuroseq.janelia.org,2958.0000,185
172.16.0.50,2568.0472,4238
jbrowse.solynta.com,2434.4610,783
158.109.215.162,2224.0107,1220
192.168.118.225:8080,1774.7882,203
jbrowse,1745.8541,514
54.40.223.139:8080,1660.0748,147
jbrowse.merck.com:8080,1604.4167,156
ts41,1445.7592,598
pophuman.uab.cat,1256.8374,3783
geco.iplantcollaborative.org,1127.1487,417
rgv.genouest.org,1054.1560,282
peach.igh.cnrs.fr,839.7118,1572
127.0.0.1:8888,769.0702,242
cloud.limgroup.eu,690.7112,1963
10.157.217.77,655.5165,637
jbrowse.jhhlab.tw,641.0684,1287
www.bovinegenome.org,631.3488,734
jbrowse.hpcagrogenomics.wur.nl,619.8286,811
10.84.2.11,599.5796,157
bovinegenome.org,588.8867,653
visual.ic4r.org,582.5591,24717
10.0.0.20,534.2471,1222
128.206.234.23:8080,529.2891,128
159.226.67.237,508.0651,476
61.148.58.210:8080,507.8355,833
wukong,496.9521,334
bigd.big.ac.cn,492.6791,134
gwas-browser.nygenome.org,467.0000,141
biocomp.phibred.com,453.6691,136
chambo.umd.edu,435.5417,144
152.7.99.249,410.8017,242
jbrower.vardetect.com,395.0526,114
10.10.83.81,393.6089,652
genexpdb.okstate.edu,384.8494,312
jbrowse.newapp1.irainyday.com,384.7818,165
54.210.66.87,368.3647,447
10.84.2.157,350.1639,122
137.189.43.160:8080,346.4287,5006
epigenome.genetics.uga.edu,344.1935,7544
10.0.0.29,319.4131,1329
141.244.134.147,318.5188,505
www.tongjidmb.com,301.4725,182
152.7.99.244,293.7198,1124
www.bio-bigdata.com,281.4679,1246
cho-epigenome.boku.ac.at,276.0000,1276
localhost:9000,274.8624,3642
