plugis separated into bins (last 12 months, > 100 hits)
host,hits,RegexSequenceSearch,PhytozomeStyleAddons,fullscreen-jbrowse,scrollpos-jbrowse,HideTrackLabels,SeqLighter,WebApollo,VCFwsViewer,NeatCanvasFeatures,NeatHTMLFeatures,CategoryUrl,GCContent,HierarchicalCheckboxPlugin,LabPlugin,MethylationPlugin,NucleotideDensityPlugin,ScreenShotPlugin,SeqViewsPlugin,SmallRNAPlugin,StrandedPlotPlugin,TrackScorePlugin,YScaleMenuPlugin,SchmitzBrowserPlugin,CACAO,CoGe,MultiVariantViewer,,FeatureSequence,MotifSearch,SwitchTrackSelector,SashimiPlot,PydginElastic,DebugEvents,Blat,Fullscreen,QuickMarks,Seqdisp,seqdisp-jbrowse,GWASviewer,XTrackConfigEditor,BlatPlugin,GA4GHViewer,GWASViewer,DownloadFasta,MultiBigWig,dynamix,BlatSearch,QuickMark,SeqDisp,FastLoader,primermod,CDS,ProportionalMultiBw,GenesApi,SGIOAuth2,JBClient,JBlast,bookmarks,fullscreen,PlantMethylomePlugin,NCBIBlast,MAFViewer,FrameViewer,RemoteBlast,BioXM_Plugin,MyVariantViewer,InterfaceTweaks,BioNanoGenomics,TADkit,ComboTrackSelector,Bed12,BroadPeak,NarrowPeak,BlastFeature,GEPFeature,GEPLinks,GetDNA,ScoreFilter,StrandFilter,QualityGlyphs,sgioauth2,NewPluginOne,SocialFeatures,MyPlugin,BlastView,PostGraphQL,RestrictionSearch,LinkedReadsViewer,HiCViewer,GenePredFeature,MultiBigwig,CramReader,qualityglyphs,MyPluginTest,FullscreenPlugin,WebsocketCommandlinePlugin,PhytozomeHeader,G-OnRamp_plugin,GoGo,ProjectionPlugin,bookmarks-jbrowse,gccontent,AmbryCNVFeature,DarkFlatTheme,MinimalistFlatTheme,Bookmarks,MinimalistTheme,ThemeComponent-Colors-BlackWhite-BlueGreen,CyverseRemoteTracks,ThemeComponent-DisableGrid,ThemeComponent-Flat,BamsApi,CustomTracksApi,SeqExtractor,proportionalmultibw,FungiMethylomePlugin,AmbryProbeViewer,FullScreen,NAL_CSS,MyPlug,blastview,multibigwig,SGIRefSeqLabels,myvariantviewer,ThemeComponent-RearrangedRulers,AmbryStyle,FilterPlugin,MyVariantInfo,ThemeComponentFlat,ClearCache,ResourcesMenu,PrimerDesigner,gwasviewer,SnapRegion,BigWigTracksApi,SitewideNotice,ThemeComponent-RightAlignedControls,SitewideNotices,zomeExtras,AGPParser,PairedReadViewer,ExtractBed,WikiData,sashimiplot,TestPlugin,MakePCRPrimers,narrowpeak,FullscreenJBrowse,Test1,ManyTracks,SequenceServerExternalLink,RESTPBK,ElasticSearch,DarkTheme,SwitchTrackType,AnnotationEditor,Dynamix,G-OnRamp_plugins,EnhancedCombinationPlugin,Chat,GCCoverage,REAPRViewer,Fullscreen-JBrowse,MAFviewer,ColorByCDS,Varshant_Mod,NoRefSeqs,Gaps,WiggleSVGPlotPlugin,methylPlugin,SNPViewer,CondensedReads,MotifDensityPlugin,GOnRamp,VariantTrack,AnnotatedVariants,LSAA,jbrowse-minimalist-theme,ga4ghviewer,TC-C-BWBWG,asdf,1,2,3,4,5,6,GonrampPlugin,NalCss,mafviewer,MenuCustomizer,FaceBase,agp,SiteNotice,7,A2OHeader,Sashimi,ServerSearchSeq,ServerSearch,ENCODEPlugin,filterplugin,BroadcastEvents,customize_refSeq,DebugFlip,Jumpy,BookmarksPlugin,FullScreenPlugin,jbrowse-dark-theme,RenameTracks,Facebase,PubPlugin,sashimi,Blastview,wormbase-glyphs,annotation,Apollo,colorbycds,DXplugin,regex,book,book-j,blastlinks,pluginBlast,pluginblast,
jbrowse.informatics.jax.org,13302, 13302, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,162084, 160126, 1667, 4637, 1828, 7780, 4, 11456, 1499, 3121, 3108, 26, 2529, 167, 1, 103, 5, 214, 5, 9, 18, 21, 7, 2, , 75, 1202, 791, 1558, 284, 284, 81, 1, 30, 52, 111, 52, 52, 38, , 2, 2, 1, 18, 3, 2507, 16, 36, 36, 36, , , 1, 10, 1, , 3, 3, , , 4, , 54, , , 22, 3, 1, , , 115, , , , , , , , , , , 1, , , , 11, , , , , , , , , , , , , 189, , , , , 1, 7, 2, , , 4, , , 14, , 1, 7, , , , , 1, , , , , , , , , , 4, , , , , , , , , 2, 161, , , , , , , , , 1, , 6, , , 77, , , , , , 2, , , , , , , , , , 2, , , , 5, , , , , , , , , , , , , , , , , 116, , , , , , , , , , , , , , , , , , 2, , , , , , , 14, , , , , , , , , , 
141.244.40.114,1286, 1286, , , , 1284, 1284, , , , , , 1, , , , 1, , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
172.17.0.1:8080,19, 19, , 16, , 3, , 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
localhost,25670, 25666, , 64, 48, 7466, 704, 277, , 5331, 4497, 16, 338, 364, , 54, 145, 153, 130, 43, 412, 47, , , 1, , 699, 4, 246, , , 43, , 38, , 11, , , , , , , 47, 403, 1, 1257, 203, , , , , , , 218, , , , , 21, , , 129, 353, 115, 169, , 69, , 31, 9, 1, , , , 138, , , , , , 339, , 4, 5, 34, 34, , , 32, 183, 135, , 18, 46, , , , , , 8, , 110, , , , , , , 129, , , , , , 480, , , , , , , , 1, , , 120, , 29, , , , , 11, 17, 6, , 6, , 9, , , , 740, 111, 1, 27, 38, , , 11, 124, , , 102, , 34, , , , , , , , 82, , 21, 209, , , 8, , , 5, 19, , , , , , , , , , , , , , , , , , , , , , , , 2, , , 80, , 161, , 50, 43, 1, , , 60, , , , , , 6, 2, , , 1, 1, 1, 112, 1, 30, 
phytozome.jgi.doe.gov,552955, 552955, 191169, 552955, 552955, 552955, , , 552955, 17, 17, , , , , , , , , , , , , , , , , , 505286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 361786, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 236292, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
visual.ic4r.org,24720, 24720, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
jbrowse.org,30106, 29659, , 150, 75, 27926, , 439, 75, 27733, 27730, , 505, 3, , 2, , 3, , 2, , 2, , , 431, , 32, 411, 157, 63, 63, 1, 3, 13, , , , , , , , , 5, , 2, 13, 1, , , , , , , 19, , , , , , , 2, , , , , , , , , , 46, , , , , , , , , , 19, , , , , 478, , , , , , , , , , , , , , , , , , , 4, 5, 2, 42, 6, , 6, 6, , , , , , , , , , , , , 19, 6, , , , , , , , , , , 94, 6, 16, 75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 75, , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
solgenomics.net,223579, 223579, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
localhost:8090,5308, 5308, , , , 3868, , 4763, , 1154, 842, , 75, , , , , , , , , , , , , , , , , , , 212, , , , , , , , , , , , , , 135, , , , , , , , , , , , , , , , , , , , , , , , , 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 77, , , , , , , , , , , , , 130, , , , , , , , , , , , , , 13, 490, , , , , , , , , , , , , , , , , , , , , 567, , , , , , , , , , , , 3, , , , , , , , , , , , , , , , , , , , 47, , , , , , , , , , , , , , , , 
