trackCount separated into bins (last 12 months, > 100 hits)
host,'0-100,'100-200,'200-500,'500-1000,'1000-2000,'2000-5000,'5000-10000,'10000-20000,'>20000,trackCount,hits
localhost:8080,24171,7,240,47,928,54,0,0,1,25448,
genomics.dote.hu,76,0,9,0,64,0,0,0,24,173,
localhost,24462,357,484,37,132,70,3,125,0,25670,
ts41,342,3,0,71,39,111,19,13,0,598,
172.29.4.215:8080,31,0,0,0,0,0,1976,0,0,2007,
snp-seek.irri.org,646,0,0,0,0,0,7491,0,0,8137,
,155741,1478,2031,2161,508,100,70,0,0,162089,
oryzasnp.org,0,0,0,0,0,0,324,0,0,324,
rna.sysu.edu.cn,407,103,296,49,251,221,1779,0,0,3106,
192.168.118.225:8080,87,56,0,0,0,5,55,0,0,203,
bigd.big.ac.cn,12,113,0,0,0,0,9,0,0,134,
genomevolution.org,11347,168,370,10,1095,39,6,0,0,13035,
www.genomevolution.org,112,0,6,0,11,0,1,0,0,130,
172.16.0.50,33,28,106,448,1018,2328,277,0,0,4238,
jbrowse.solynta.com,61,0,0,39,67,616,0,0,0,783,
popfly.uab.cat,1,0,0,0,0,3225,0,0,0,3226,
158.109.215.162,36,348,0,198,8,630,0,0,0,1220,
jbrowse.org,28782,50,20,1,1259,1,0,0,0,30113,
cgm.sjtu.edu.cn,40,0,0,0,0,3660,0,0,0,3700,
www.rmbreeding.cn,11,0,0,0,0,1715,0,0,0,1726,
rmbreeding.net,0,0,0,0,0,199,0,0,0,199,
neuroseq.janelia.org,0,0,0,0,0,185,0,0,0,185,
biocomplx.phibred.com,723,83,8,2,0,3,0,0,0,819,
geco.iplantcollaborative.org,228,0,4,0,25,160,0,0,0,417,
152.7.99.244,696,21,156,140,101,10,0,0,0,1124,
10.157.217.77,435,0,0,0,0,202,0,0,0,637,
rgv.genouest.org,0,9,0,229,0,44,0,0,0,282,
10.1.0.2:8085,164,745,0,0,3,0,0,0,0,912,
localhost:8098,455,0,0,0,1,0,0,0,0,456,
tgwebdev.cam.uchc.edu,166,0,0,0,1,0,0,0,0,167,
128.146.132.152,410,0,0,0,11,0,0,0,0,421,
139.224.10.167,161,0,0,0,7,0,0,0,0,168,
bioinf.gen.tcd.ie,6251,362,13,0,19,0,0,0,0,6645,
192.168.1.14,726,97,182,0,6,0,0,0,0,1011,
www.yeastgenome.org,230,0,21392,0,18,0,0,0,0,21640,
210.46.85.201:8080,7,0,3268,0,2,0,0,0,0,3277,
peach.fafu.edu.cn,578,0,0,0,2,0,0,0,0,580,
192.168.1.39,115,0,0,0,4,0,0,0,0,119,
10.254.253.53,105,0,0,0,5,0,0,0,0,110,
192.168.3.253,886,2490,0,0,10,0,0,0,0,3386,
www.xwensoft.com,139,0,0,0,2,0,0,0,0,141,
jbrowse.roche.com:8080,5964,914,200,83,202,0,0,0,0,7363,
ange-data-08.calcul.i2bc.paris-saclay.fr,2042,0,0,0,1,0,0,0,0,2043,
www.angiosperms.org,666,0,0,0,3,0,0,0,0,669,
tfiid.med.harvard.edu,337,0,0,0,8,0,0,0,0,345,
swissregulon.unibas.ch,5179,0,0,0,2,0,0,0,0,5181,
192.168.211.200,141,0,0,0,1,0,0,0,0,142,
146.118.105.131,205,0,0,0,10,0,0,0,0,215,
192.168.70.116:8080,416,0,0,0,1,0,0,0,0,417,
10.10.116.28,216,45,91,0,13,0,0,0,0,365,
biotrainee.com,126,0,0,0,1,0,0,0,0,127,
192.168.1.220:3015,114,0,0,0,2,0,0,0,0,116,
yeastgenome.org,16,0,864,0,1,0,0,0,0,881,
127.0.0.1,1975,0,34,0,13,0,0,0,0,2022,
10.75.119.195,105,0,0,0,1,0,0,0,0,106,
192.168.140.186,337,0,0,0,11,0,0,0,0,348,
127.0.0.1:8888,143,0,0,0,99,0,0,0,0,242,
127.0.0.1:8000,3375,0,0,0,1,0,0,0,0,3376,
192.168.1.50,489,0,0,0,8,0,0,0,0,497,
10.200.37.235,306,0,0,0,3,0,0,0,0,309,
10.209.0.204,99,0,0,0,1,0,0,0,0,100,
127.0.0.1:5000,412,0,0,0,1,0,0,0,0,413,
jbrowse-dev2,110,138,0,0,1,0,0,0,0,249,
dove.ceh.uvic.ca,576,0,0,0,1,0,0,0,0,577,
genseq-h0.science.uva.nl,834,223,0,0,1,0,0,0,0,1058,
203.230.60.182,1162,0,0,0,5,0,0,0,0,1167,
172.29.2.99,811,0,0,0,2,0,0,0,0,813,
biocluster.her.hcmr.gr,831,0,0,0,1,0,0,0,0,832,
localhost:8383,751,0,0,0,2,0,0,0,0,753,
jbrowse.newapp1.irainyday.com,11,4,147,0,3,0,0,0,0,165,
localhost:8000,5418,0,0,0,3,0,0,0,0,5421,
songyanglab.sysu.edu.cn,1503,0,0,0,1,0,0,0,0,1504,
10.18.24.49,120,0,0,0,4,0,0,0,0,124,
192.168.1.101,316,5,0,0,2,0,0,0,0,323,
61.148.58.210:8080,241,57,106,294,135,0,0,0,0,833,
