plugis separated into bins (last 12 months, > 100 hits)
host,hits,RegexSequenceSearch,PhytozomeStyleAddons,fullscreen-jbrowse,scrollpos-jbrowse,FeatureSequence,HideTrackLabels,VCFwsViewer,MotifSearch,SwitchTrackSelector,NeatCanvasFeatures,NeatHTMLFeatures,,WebApollo,FastLoader,MultiVariantViewer,DownloadFasta,MultiBigWig,SmallRNAPlugin,CoGe,DebugEvents,GoGo,PydginElastic,BlatSearch,Fullscreen,QuickMark,SeqDisp,GCContent,NucleotideDensityPlugin,StrandedPlotPlugin,SashimiPlot,GWASViewer,CategoryUrl,HierarchicalCheckboxPlugin,LabPlugin,MethylationPlugin,ScreenShotPlugin,SeqViewsPlugin,TrackScorePlugin,YScaleMenuPlugin,PlantMethylomePlugin,BioXM_Plugin,BlatPlugin,ProportionalMultiBw,SeqLighter,BlastView,CACAO,bookmarks,fullscreen,SchmitzBrowserPlugin,dynamix,CustomTracksApi,GenesApi,sgioauth2,FrameViewer,GWASviewer,CDS,Blat,QuickMarks,Seqdisp,MyVariantViewer,JBClient,JBlast,MAFViewer,ComboTrackSelector,DarkFlatTheme,MinimalistFlatTheme,ThemeComponent-DisableGrid,ThemeComponent-RearrangedRulers,QualityGlyphs,myvariantviewer,XTrackConfigEditor,ClearCache,ResourcesMenu,TADkit,seqdisp-jbrowse,G-OnRamp_plugin,AmbryCNVFeature,AmbryProbeViewer,AmbryStyle,PrimerDesigner,gwasviewer,SnapRegion,InterfaceTweaks,BigWigTracksApi,SitewideNotice,ThemeComponent-Colors-BlackWhite-BlueGreen,ThemeComponent-Flat,ThemeComponent-RightAlignedControls,MyVariantInfo,SitewideNotices,GA4GHViewer,GEPFeature,GEPLinks,GetDNA,ScoreFilter,StrandFilter,PhytozomeHeader,SeqExtractor,zomeExtras,FilterPlugin,BioNanoGenomics,FungiMethylomePlugin,AGPParser,PairedReadViewer,ExtractBed,WikiData,FullScreen,sashimiplot,CramReader,TestPlugin,blastview,MakePCRPrimers,narrowpeak,FullscreenJBrowse,Test1,bookmarks-jbrowse,MyPlugin,ManyTracks,NarrowPeak,Bookmarks,MinimalistTheme,ProjectionPlugin,gccontent,qualityglyphs,SequenceServerExternalLink,RESTPBK,ElasticSearch,DarkTheme,SwitchTrackType,AnnotationEditor,Dynamix,G-OnRamp_plugins,EnhancedCombinationPlugin,Chat,GCCoverage,NAL_CSS,REAPRViewer,multibigwig,Fullscreen-JBrowse,MAFviewer,ColorByCDS,Varshant_Mod,NoRefSeqs,Gaps,WiggleSVGPlotPlugin,methylPlugin,SNPViewer,CondensedReads,MotifDensityPlugin,GOnRamp,VariantTrack,AnnotatedVariants,RestrictionSearch,LSAA,jbrowse-minimalist-theme,ga4ghviewer,TC-C-BWBWG,asdf,1,2,3,4,5,6,GonrampPlugin,NalCss,mafviewer,MenuCustomizer,FaceBase,agp,SiteNotice,7,A2OHeader,Sashimi,ServerSearchSeq,FullscreenPlugin,MyPluginTest,WebsocketCommandlinePlugin,ServerSearch,ENCODEPlugin,filterplugin,BroadcastEvents,customize_refSeq,DebugFlip,Jumpy,BookmarksPlugin,FullScreenPlugin,jbrowse-dark-theme,RenameTracks,Facebase,PubPlugin,sashimi,Blastview,wormbase-glyphs,annotation,Apollo,colorbycds,DXplugin,regex,book,book-j,blastlinks,pluginBlast,pluginblast,GCcontent,AliasRefSeqs,MyEffectPlugin,VariantEffectPlugin,RightAlignedControls,FacetedTabAdjuster,VariantEffectPluginDB,VariantEffectPluginCAD,MultiVariantViewer%2CRegexSequenceSearch,gwasviewer-master,crocus,ExportSequence,G-OnRamp,ColorByType,
jbrowse.informatics.jax.org,13204, 13204, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,164153, 162369, 232, 9244, 451, 655, 12408, 370, 361, 361, 2831, 2822, 503, 16082, 2, 2004, 5, 8471, 10, 77, 22, , 1, 37, 93, 37, 36, 8415, 6, 24, 235, 35, 18, 284, 1, 108, 372, 6, 24, 8, 4, 1, 2, 15, 2, 16, , , , 3, 70, 1, 1, 1, , , 3, 41, 41, 40, 3, 1, 1, 55, 228, 11, 2, , 1, , , 2, , , , 58, 90, 1, , , , , , 1, , , 2, , , , 9, , , , , , , , 7, 219, , , , , , , 1, , , , , , , , 1, , , , 6, , , , , , , , , 90, , , , , , 3, , , 2, , , , , 5, , , , 3, , , , 6, , , 1, , , , , , , , , , , , , , , 174, , , , , , , , , , , , , , , , , , , , , 9, , , , , , 4, 14, , , , , , , , , , , , , 1, , 1, 2, 1, 1, , , 1, , , 
phytozome.jgi.doe.gov,570198, 570198, 31936, 570198, 570198, 570198, 570198, 570198, , , 17, 17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 538262, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 412771, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
solgenomics.net,233887, 233887, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cancer.sanger.ac.uk,553532, 553492, , , , , , , , , , , 40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
www.wormbase.org,1560170, 1560170, , 1560168, , 1509534, 1560168, , 1560168, 1560168, , , , , , , , , , , , , , , , , , , , , , , , 1073093, , , 1073093, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 9988, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 9988, , , , , , , , , , , , , , , , , , , , , , , , , 
jbrowse.org,29090, 28654, , 392, 316, 399, 27170, 316, 64, 64, 24661, 24658, 413, 68, , 32, 1, 13, , , 11, , 3, , , , , 136, , , 1, , , 7, , , 7, , , , , , 1, 19, , 101, 63, , , , , , , , , , , , , , , , , , 41, 1, 2, 6, 6, 19, 19, , , , , , , , , , , , , , , 94, 6, 6, 6, , 16, 2, , , , , , , , 316, , , , , , , , , , , , , , , , , , , , , , 35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 316, , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
aura.science.unitn.it,8150, , , , , , , , , , , , 8150, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cucurbitgenomics.org,70928, 70921, , , , , , , , , , , 7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
hikakudb.nig.ac.jp,4010, 4010, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140.120.203.44,56680, 56653, , , , , , , , , , , 27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
marinegenomics.oist.jp,5313, 5313, , , , , 2, , , , 2, 2, , , , , , , , , , , , , , , , 2274, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
webapollo2.vectorbase.org,3101, 3101, , , , , 3101, , , , , , , 3101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
whiteflygenomics.org,2835, 2835, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
archer5.ngslab,26, 26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
donald,910, 910, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
pegasus-bioinfo.angers-nantes.inra.fr,1570, 1570, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1500, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1425, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bio-dev-jbrowse-01.dev.rd.rijkzwaan.net,146, 146, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
dubcovskylab.ucdavis.edu,4007, 4007, , , , , 2, , , , 2, 2, , , 2693, , , , , , , , , , , , , , , , , 1087, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 79, 127, , , 426, 352, , , , , , , 
iris.angers.inra.fr,3255, 3255, , , , , 1, , , , 1, 1, , , , , , , , , , , , , , , , , , , , , , , , 2673, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
rgd.mcw.edu,97168, 97168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cancer-beta.sanger.ac.uk,12832, 12832, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
apollo.tgac.ac.uk,2679, 2679, , , , , , , , , , , , 2671, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
apollo.nematodegenomes.org,597, 597, , , , , , , , , , , , 597, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
titin.ucd.ie,555, 555, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mmodev.sb-roscoff.fr,777, 777, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
