How many times each trackCount value was seen (unfiltered) 
trackCount,count
0,7052
1,18049
2,164268
3,81416
4,119916
5,175579
6,73248
7,48740
8,34990
9,149998
10,40029
11,35618
12,50497
13,70420
14,420593
15,26337
16,66114
17,21584
18,28169
19,130052
20,56554
21,21865
22,20343
23,9601
24,46783
25,21498
26,41207
27,30295
28,1883860
29,35262
30,49267
31,31035
32,33715
33,16940
34,49669
35,20548
36,27551
37,20118
38,6700
39,5407
40,21328
41,6345
42,10535
43,15837
44,25438
45,18462
46,45543
47,44184
48,5477
49,3788
50,1359
51,1736
52,18811
53,56299
54,31383
55,7008
56,10726
57,1663
58,8938
59,13192
60,57539
61,2158
62,4071
63,14523
64,1902
65,1631
66,1178
67,1070
68,874
69,2988
70,1121
71,11190
72,1322
73,2355
74,4577
75,634
76,593
77,1408
78,1908
79,1002
80,341
81,1317
82,1208
83,3906
84,6690
85,20769
86,573
87,1913
88,864
89,2116
90,4875
91,26589
92,330
93,721
94,307
95,1107
96,242
97,330
98,1132
99,427
100,556
101,1125
102,3367
103,1017
104,209
105,1910
106,716
107,925
108,288
109,660
110,240
111,1636
112,640
113,569
114,229
115,1674
116,1125
117,988
118,78
119,510
120,443
121,1555
122,590
123,411
124,641
125,161
126,73095
127,133
128,598
129,324
130,527
131,511
132,161
133,61
134,332
135,1187
136,136
137,413
138,200
139,121
140,505
141,273
142,314
143,173
144,642
145,510
146,399
147,322
148,176
149,209
150,143
151,335
152,237
153,232
154,137
155,1360
156,85
157,377
158,309
159,260
160,1822
161,513
162,3496
163,305
164,92
165,223
166,407
167,60
168,216
169,641
170,182
171,28
172,236
173,134
174,173
175,83
176,64
177,148
178,339
179,79
180,60
181,67
182,1489
183,105
184,47
185,243
186,540
187,747
188,311
189,158
190,22
191,57
192,899
193,329
194,30
195,649
196,8
197,25
198,16
199,30
200,50
201,376
202,62
203,146
204,727
205,16
206,140
207,311
208,293
209,270
210,145
211,115
212,111
213,17
214,552
215,226
216,80
217,279
218,410
219,8
220,565
221,52
222,49
223,228
224,15
225,148
226,80
227,431
228,53
229,57
230,26
231,106
232,24
233,97
234,225
235,75179
236,37
237,586
238,107
239,46
240,72
241,52
242,130
243,81
244,44
245,343
246,960
247,46
248,93
249,41
250,95
251,145
252,506
253,82
254,1081
255,293
256,1410
257,119
258,328
259,36
260,71
261,749
262,242
263,156
264,102
265,67
266,180
267,59
268,133
269,23
270,132
271,24
272,164
273,85
274,55
275,32
276,1511
277,25
278,91
279,138
280,63
281,16
282,48
283,165
284,110
285,65
286,41
287,37
288,69
289,116
290,505
291,19
292,52
293,110
294,616
295,680
296,62
297,13
298,19
299,29
300,516
301,161
302,20
303,1415
304,1006
305,333
306,162
307,76
308,111
309,30
310,45
311,116
312,3
313,32
314,9
315,2858
316,80
317,5
318,5
319,310
320,329
321,278
322,223
323,133
324,103
325,1165
326,40
327,528
328,1
329,520
330,1
331,18
332,525
333,130
334,51
335,157
336,13
337,4
338,5
339,45
340,31
341,3
343,204
344,1
345,2
346,4
347,148
348,50
349,10
350,5
351,80
352,61
353,3
354,23
355,76
356,395
357,18
358,10
359,35
360,176
361,3
362,677
363,2200
364,31
365,31
366,6
367,88
368,16
369,4
370,12
371,5
372,39
373,2
375,14
376,1
377,3
378,2
379,150
380,38
381,4
382,1
383,15
384,104
385,121
386,207
387,7
388,13
389,93
390,34
391,93
392,106
393,126
394,4
395,17
396,207
397,181
398,1
399,45
401,10
402,23
403,15
404,1
405,10
407,26
409,60
410,36
411,37
412,83
413,7
415,156
416,1
417,188
419,6
421,163
422,25
423,88
424,29
425,452
426,13
427,3
428,5
429,29
430,25
431,29
432,40
433,7
434,89
435,72
436,13
437,1
438,164
439,29
440,1
441,1
442,22
443,55
444,106
445,54
447,541
448,36
450,4
451,31
454,3
455,1
456,67
457,8
460,11
461,41
463,1
464,7
465,12
467,132
468,7
469,205
472,90
473,623
474,153
475,20
476,19
477,85
478,2
479,42
480,38
482,33
485,1
487,15
488,2
489,10
490,321
491,2
493,5
494,2
498,1
500,33
501,25
502,37
503,4
504,58
505,1
506,195
507,30
509,54
511,81
512,5
516,2
518,8
521,2
522,3
523,2
524,2
527,4
529,1
530,5
532,3
533,55
534,2
535,2
536,7
537,4
538,9
542,5
543,61
544,7
545,5
547,42
548,32
549,10
551,5
552,68
553,3
554,1
556,1
557,4
558,3
559,2
560,2
562,82
569,4
570,7
571,27
572,9
575,12
576,2
577,22
578,17
579,23
580,410
581,103
582,4
583,32
584,3
585,25
586,1
587,57
588,10
589,1
590,1
591,8
592,2
593,42
594,51
595,54
596,82
597,820
598,9
599,6
600,17
601,2
603,10
607,29
609,12
610,1
614,4
615,5
622,337
624,1
625,49
626,2
628,1727
629,3
630,47
631,124
632,278
633,152
634,15
635,35
636,20834
637,9
639,3
640,1
641,4
643,3
649,3
650,4
651,258
655,1
658,72
659,4
661,20
662,7
663,30
664,63
665,21
666,1
671,32
672,3
673,2
674,3
675,12
676,1
677,6
678,1
679,8
682,1
683,4
684,24
685,23
686,1
688,2
689,17
692,12
694,27
696,4
697,4
698,24
700,14
706,2
707,28
708,1
711,28
712,3
713,3
714,1
715,1
717,2
718,32
720,8
724,2
725,2
726,17
727,17
728,31
729,45
730,42
731,15
732,76
733,24
734,26
735,188
736,37
737,2
738,200
739,12
740,20
743,25
744,49
745,101
746,81
747,60
748,23
749,27
750,31
752,54
753,24
754,15
755,21
756,5
757,2
758,7
759,11
761,21
762,9
764,2
766,11
767,123
768,85
769,15
770,5
771,26
772,26
773,43
774,31
775,20
776,72
777,1
778,4
779,53
780,1
782,1
784,4
788,86
789,48
790,5
791,4
792,35
794,3
795,24
797,164
799,31
801,59
803,46
805,12
806,11
807,15
811,12
813,11
814,90
815,100
816,49
817,9
818,104
822,21
824,7
825,513
826,129
827,53
828,92
829,17
830,41
831,22
833,16
834,3
835,16
836,3
837,30
839,9
840,9
841,29
842,49
843,30
845,98
847,16
848,23
849,32
851,78
852,2
853,34
854,49
855,7
856,5
857,22
859,12
860,74
862,96
863,164
864,7
865,14
866,25
868,1
869,14
870,44
872,4
873,42
874,535
875,82
876,42
877,5
878,1
879,5
882,21
887,26
888,27
889,14
890,87
895,34
896,6
897,11
898,33
900,9
901,17
902,12
903,282
905,19
906,44
908,70
909,70
911,12
912,49
913,1
914,22
915,1
916,5
918,10
919,54
920,22
921,41
923,5
924,18
926,49
927,3
930,270
931,7
932,8
933,10
934,3
935,23
936,11
937,51
938,55
939,31
940,10
941,25
942,44
946,5
947,3
948,20
949,21
950,40
952,5
953,8
954,10
956,15
957,25
958,1
959,7
960,120
961,143
962,3
963,5
964,91
965,1
967,129
969,44
970,17
971,67
972,26
973,5
974,1
975,13
976,325
977,5
978,57
980,21
981,12
983,3
984,19
985,10
986,95
987,91
988,16
989,20
990,24
991,11
992,1
993,14
994,57
995,13770
996,4679
997,191
998,164
999,60
1000,6
1001,26
1002,7
1003,98
1004,127
1005,49
1006,99
1007,2
1008,62
1009,37
1010,7
1012,135
1013,11
1014,17
1015,5
1016,10
1017,1
1018,11
1019,9
1020,23
1022,7
1023,244
1024,90
1025,9
1026,34
1027,49
1028,7
1030,103
1033,22
1034,9
1035,10
1036,7
1038,4
1039,32
1040,41
1041,24
1042,27
1044,12
1047,15
1048,73
1049,21
1050,73
1051,21
1052,79
1053,95
1054,16
1056,23
1058,1
1059,3
1060,19
1062,13
1064,2
1065,9
1066,7
1068,13
1069,950
1070,158
1071,2
1072,49
1073,10
1075,3
1077,5
1078,8
1080,1
1081,23
1083,6
1084,9
1085,37
1088,3
1089,2
1090,11
1091,85
1092,10
1093,5
1094,57
1096,4
1098,4
1101,11
1102,7
1105,24
1106,1
1110,2
1111,364
1112,13
1114,4
1115,1
1116,15
1117,14
1118,65
1119,8
1120,19
1121,2
1122,12
1123,7
1124,2
1125,18
1127,4
1128,11
1130,3
1132,1
1133,158
1137,5
1138,2
1140,3
1141,42
1143,2
1144,1
1146,2
1147,2
1149,1
1150,8
1151,18
1152,35
1154,2
1158,1
1159,9
1162,9
1163,23
1164,140
1166,1
1167,6
1168,8
1169,39
1170,34
1173,2
1174,52
1175,25
1176,5
1177,9
1181,44
1182,21
1183,20
1184,3
1188,3
1193,14
1194,69
1199,4
1209,66
1219,11
1228,14
1231,1
1237,3
1239,9
1241,11
1245,37
1249,53
1253,9
1259,23
1263,69
1264,207
1267,323
1269,333
1270,124
1271,10
1272,7
1273,20
1274,8
1275,29
1276,141
1278,8
1279,13
1280,29
1281,9
1282,6
1283,5
1284,14
1286,59
1287,2
1288,29
1289,35
1290,33
1291,50
1292,92
1293,2
1294,4366
1295,1
1296,1
1297,15
1298,89
1300,15
1301,23
1303,6
1307,13
1310,3
1313,4
1314,330
1315,1
1316,1
1317,1
1318,3
1320,4
1323,1
1324,42
1325,158
1326,4968
1327,5507
1328,1185
1329,5
1330,43
1331,10
1332,3
1333,41
1334,51
1336,2
1341,13
1342,5
1345,1
1347,1
1350,145
1351,49
1354,53
1355,21
1356,75
1357,19
1359,13
1360,2
1361,46
1362,3
1367,2
1370,3
1371,151
1372,182
1382,2
1393,8
1398,6
1402,4
1404,39
1408,35
1409,13
1410,5
1411,39
1412,3
1413,36
1414,1
1415,14
1416,3
1417,19
1419,13
1420,40
1421,22
1422,20
1423,29
1424,70
1426,9
1429,10
1431,1
1432,22
1433,89
1434,61
1435,25
1441,3
1442,1
1443,31
1450,3
1453,1
1455,4
1456,1
1459,3
1460,2
1464,17
1466,15
1467,27
1468,11
1479,2
1480,2
1481,4
1482,5
1483,6
1484,8
1486,2
1487,10
1488,27
1489,3
1490,81
1491,13
1492,1
1493,13
1494,1
1505,2
1529,13
1533,7
1534,2
1543,30
1545,39
1546,12
1547,1
1548,2
1551,10
1589,3
1591,3
1597,2
1601,2
1605,3
1625,17
1645,2
1655,3
1671,3
1685,20
1688,2
1692,12
1704,29
1705,4
1706,9
1708,3
1724,9
1727,17
1728,6
1729,1
1730,33
1733,24
1735,4
1737,26
1744,14
1750,19
1766,16
1769,268
1772,7
1791,33
1792,6
1796,164
1797,115
1799,114
1804,65
1809,1
1869,4394
1870,9
1879,1
1887,10
1888,34
1889,12
1890,13
1893,27
1895,4
1898,108
1928,4
1941,1
1960,1
1963,1572
1964,1
1966,2
1968,4
1970,3
1999,2
2012,48
2030,24
2032,2
2034,52
2044,9
