host,accesses, distinct client count
phytozome.jgi.doe.gov, 570075, 34711, 
cancer.sanger.ac.uk, 657344, 72960, 
snp-seek.irri.org, 8631, 1601, 
genomevolution.org, 11460, 2893, 
www.wormbase.org, 1460964, 84798, 
genome.microbedb.jp, 63275, 4746, 
iris.angers.inra.fr, 3194, 866, 
www.picb.ac.cn, 3037, 681, 
172.29.2.99, 601, 13, 
, 168538, 17245, 
137.189.43.160:8080, 3783, 169, 
cucurbitgenomics.org, 79978, 4105, 
192.168.1.101, 255, 10, 
p00201.genebay.co.jp:8443, 134, 5, 
jbrowse.jhhlab.tw, 767, 85, 
grch37-cancer.sanger.ac.uk, 542, 195, 
gmod.github.io, 267, 161, 
172.16.0.50, 5313, 76, 
rna.sysu.edu.cn, 1375, 354, 
192.168.56.1:8080, 169, 4, 
cancer-beta.sanger.ac.uk, 1224, 284, 
www.immunobase.org, 13078, 2624, 
marinegenomics.oist.jp, 4708, 659, 
dev.jbrowse.southgreen.fr, 3385, 63, 
jbrowse.org, 29385, 11185, 
192.168.112.128, 2, 2, 
planmine.mpi-cbg.de:8088, 20367, 1111, 
gpsdev.pdx.aws, 744, 54, 
knowpulse.usask.ca, 3329, 531, 
togodb2.kazusa.or.jp, 886, 3, 
cloud.limgroup.eu, 3390, 3, 
swissregulon.unibas.ch, 5809, 1637, 
webblast.ipk-gatersleben.de, 62, 2, 
gph.niid.go.jp, 2841, 104, 
visual.ic4r.org, 20528, 4125, 
apollo.tgac.ac.uk, 2260, 301, 
www.yeastgenome.org, 1607, 728, 
mockler-jbrowse.mocklerlab.org, 121, 68, 
careexpress.6655.la:17916, 834, 107, 
seabassgb.sanbi.ac.za, 57, 43, 
viewer.shigen.info, 4119, 333, 
www.rgd.mcw.edu, 964, 340, 
86.50.169.181:8080, 351, 26, 
jbrowse.smu.edu.cn, 135, 15, 
140.120.203.44, 57454, 7410, 
jbrowse.roche.com:8080, 9681, 13, 
solgenomics.net, 239295, 15463, 
togogenome.org, 1406, 416, 
210.75.224.168:8080, 613, 18, 
bioinf.gen.tcd.ie, 7416, 1027, 
rgd.mcw.edu, 103244, 26801, 
medicinalplantgenomics.msu.edu, 2006, 495, 
whiteflygenomics.org, 1586, 205, 
bis.zju.edu.cn, 722, 166, 
gryc.inra.fr, 5713, 342, 
210.46.85.201:8080, 794, 5, 
www.heliagene.org, 8981, 612, 
glent-qa-1.be.bayercropscience, 1524, 4, 
cr28603.uzbrussel.be, 5816, 39, 
www.hgvd.genome.med.kyoto-u.ac.jp, 8142, 1905, 
jbrowse.molgenrug.nl, 2965, 459, 
www.rmbreeding.cn, 1809, 455, 
www.bioinfocabd.upo.es, 3628, 135, 
genomics.usal.es, 133, 53, 
jbrowse-test.xenbase.org, 4150, 458, 
localhost:8080, 21309, 490, 
hymenopteragenome.org:8080, 309, 209, 
158.109.126.93:7000, 206, 2, 
lncrna.big.ac.cn, 5636, 1643, 
jbrowse.southgreen.fr, 15901, 2400, 
137.205.123.127, 1180, 308, 
tigriopus.synology.me:8080, 506, 55, 
www.forestrylab.org, 3214, 220, 
prime-seq.ohsu.edu, 541, 29, 
bioinfo.imtech.res.in, 145, 72, 
www.bio-bigdata.net, 277, 127, 
plmine.mpi-cbg.de:8088, 5614, 62, 
hymenopteragenome.org, 2119, 622, 
cpt.tamu.edu, 6785, 658, 
grch37-cancer-beta.sanger.ac.uk, 58, 23, 
10.71.115.70, 118, 13, 
jbrowse.informatics.jax.org, 13339, 5860, 
plabipd.de, 89, 59, 
ange-data-08.calcul.i2bc.paris-saclay.fr, 2212, 13, 
backend.clingon-mds.com, 39, 6, 
salmobase.org, 414, 229, 
ann-nblrrome.tuebingen.mpg.de, 414, 16, 
211.69.140.130, 1315, 76, 
192.168.3.253, 2934, 127, 
staging.wormbase.org, 9503, 2505, 
www.echinobase.org, 23837, 2147, 
172.28.1.172:1002, 42, 1, 
bioinf.eva.mpg.de, 4278, 2193, 
nfingb.leibniz-fli.de, 1017, 221, 
147.46.172.224, 111, 10, 
130.192.101.60, 8, 1, 
www.hardwoodgenomics.org, 342, 120, 
regulomics.mimuw.edu.pl, 899, 76, 
localhost, 23016, 807, 
172.24.5.180:8080, 6, 1, 
web.malab.cn, 86, 52, 
133.6.22.12, 374, 32, 
bioinf.mind.meiji.ac.jp, 3145, 406, 
137.189.43.55, 1316, 274, 
mmodev.sb-roscoff.fr, 746, 41, 
popfly.uab.cat, 3180, 1456, 
apollo.berkeleybop.io, 2792, 890, 
137.189.43.109, 1464, 13, 
asgdb.org, 105, 40, 
yeastgenome.org, 66, 45, 
jt6-cosmic.sandbox.sanger.ac.uk, 188, 10, 
bipaa.genouest.org, 17458, 1094, 
172.29.4.215:8080, 90, 1, 
47.52.30.237, 18, 16, 
jbrowse.intermine.org, 7526, 1443, 
webapollo2.vectorbase.org, 780, 89, 
pgdbj.jp, 55, 12, 
vroomfondel:8080, 117, 1, 
bbric-pipelines.toulouse.inra.fr, 6566, 229, 
cosmic.dev.sanger.ac.uk, 433, 29, 
147.99.112.52, 775, 15, 
192.168.142.129, 132, 1, 
silkbase.ab.a.u-tokyo.ac.jp, 6374, 672, 
vroomfondel.bc.ic.ac.uk:8080, 424, 17, 
lithium.kaust.edu.sa, 175, 9, 
legumeinfo.org, 5048, 755, 
marchantia.info, 12423, 836, 
